Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,362,90.533,5.433,423,127,2%,114,9,-420%,13,101,1820%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Basilicata,80,32.154,1.260,230,21,2%,20,4,530%,1,018,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Calabria,481,96.666,6.391,340,180,3%,158,8,-190%,22,117,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Campania,1.329,503.762,20.976,369,374,2%,351,6,170%,23,040,-1150%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Emilia-Romagna,1.733,472.613,30.673,690,1.016,3%,928,21,080%,88,198,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Friuli Venezia Giulia,765,138.307,8.077,674,316,4%,290,24,-200%,26,217,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Lazio,1.745,440.919,28.137,492,882,3%,774,14,-150%,108,189,-180%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Liguria,700,128.092,6.607,438,294,4%,266,18,950%,28,185,-670%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Lombardia,4.024,962.239,46.950,471,1.272,3%,1.132,11,070%,140,140,070%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Marche,565,128.582,6.091,406,144,2%,112,7,090%,32,213,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Molise,23,15.363,244,82,10,4%,8,3,-2000%,2,067,10000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
P.A. Bolzano,497,93.355,6.646,1.245,103,2%,82,15,-680%,21,393,1050%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
P.A. Trento,262,54.237,2.324,427,95,4%,79,15,000%,16,294,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Piemonte,1.652,412.508,17.409,407,554,3%,508,12,410%,46,108,450%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Puglia,463,283.060,5.153,131,145,3%,127,3,-160%,18,046,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Sardegna,191,80.554,3.211,201,99,3%,93,6,-310%,6,038,-1430%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Sicilia,887,332.798,15.304,316,400,3%,356,7,290%,44,091,-430%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Toscana,924,309.011,12.291,335,323,3%,274,7,-390%,49,134,000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Umbria,212,69.040,2.279,263,51,2%,45,5,000%,6,069,-1430%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Valle d'Aosta,85,13.762,727,587,21,3%,19,15,-1740%,2,161,10000%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Veneto,4.062,548.750,47.699,983,930,2%,803,17,440%,127,262,330%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
Italia,21.042,5.206.305,273.882,462,7.357,3%,6.539,11,090%,818,138,020%,Dati della Protezione Civile del 11 Dicembre 2021 ore 18:11
