Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,172,1382,3,181,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Basilicata,43,397,0,79,13,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Calabria,157,978,6,183,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Campania,296,3955,12,581,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Emilia-Romagna,671,9001,25,889,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Friuli Venezia Giulia,84,1277,3,175,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Lazio,484,6421,32,943,243,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Liguria,138,1628,5,218,12,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Lombardia,486,10457,27,1810,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Marche,61,983,3,230,49,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Molise,10,176,1,39,26,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
P.A. Bolzano,40,500,1,100,20,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
P.A. Trento,28,517,0,90,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Piemonte,237,6794,10,628,99,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Puglia,241,2903,16,503,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Sardegna,90,1602,6,204,16,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Sicilia,525,3592,25,795,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Toscana,215,5033,15,570,13,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Umbria,99,662,0,86,41,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Valle d'Aosta,3,85,0,13,21,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Veneto,216,6000,9,1000,0,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
Italia,4296,64343,199,9317,553,Dati della Protezione Civile del 08 Giugno 2022 ore 23:45
