Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,702,576.345,18.295,1.428,183,1%,178,14,600%,5,039,-1670%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Basilicata,132,186.889,5.555,1.019,34,1%,34,6,-290%,0,000,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Calabria,577,571.310,12.013,646,162,1%,153,8,-190%,9,048,-1000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Campania,1.764,2.266.145,46.494,827,287,1%,272,5,-070%,15,027,710%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Emilia-Romagna,3.276,1.920.881,45.833,1.033,1.021,2%,986,22,340%,35,079,610%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,740,512.356,13.144,1.094,240,2%,226,19,230%,14,117,2730%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Lazio,2.738,2.125.102,59.693,1.042,611,1%,572,10,440%,39,068,-250%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Liguria,771,592.550,10.118,666,223,2%,216,14,540%,7,046,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Lombardia,5.653,3.695.241,96.694,969,1.151,1%,1.135,11,110%,16,016,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Marche,1.044,641.884,8.806,588,138,2%,131,9,560%,7,047,1670%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Molise,145,92.441,4.353,1.479,9,0%,9,3,-1000%,0,000,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
P.A. Bolzano,385,275.630,6.449,1.206,124,2%,122,23,890%,2,037,-5000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
P.A. Trento,446,224.411,5.086,938,100,2%,97,18,320%,3,055,5000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Piemonte,2.865,1.547.388,55.339,1.294,778,1%,759,18,120%,19,044,-950%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Puglia,1.137,1.500.336,14.327,364,128,1%,121,3,-320%,7,018,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Sardegna,471,459.444,7.878,495,81,1%,76,5,-380%,5,031,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Sicilia,1.169,1.670.101,18.092,374,254,1%,238,5,210%,16,033,-590%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Toscana,1.664,1.441.940,50.492,1.367,457,1%,441,12,-110%,16,043,-590%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Umbria,734,391.916,8.247,953,193,2%,192,22,610%,1,012,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Valle d'Aosta,75,46.441,1.336,1.077,40,3%,40,32,-240%,0,000,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Veneto,3.751,2.361.232,64.770,1.330,753,1%,717,15,060%,36,074,290%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
Italia,30.239,23.099.983,553.014,934,6.967,1%,6.715,11,190%,252,043,000%,Dati della Protezione Civile del 16 Ottobre 2022 ore 23:45
