Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.491,556.252,28.484,2.224,139,0%,134,10,1650%,5,039,6670%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Basilicata,307,183.269,4.793,879,18,0%,18,3,000%,0,000,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Calabria,1.219,555.462,38.443,2.066,122,0%,117,6,-080%,5,027,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Campania,2.967,2.224.841,40.296,716,234,1%,227,4,270%,7,012,-2220%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Emilia-Romagna,1.869,1.856.353,17.647,398,622,4%,605,14,190%,17,038,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Friuli Venezia Giulia,1.371,489.293,6.874,572,126,2%,121,10,340%,5,042,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Lazio,3.758,2.062.965,41.414,723,404,1%,379,7,650%,25,044,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Liguria,1.205,573.263,5.409,356,127,2%,123,8,250%,4,026,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Lombardia,8.978,3.553.869,42.903,430,505,1%,498,5,900%,7,007,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Marche,1.469,619.371,4.179,279,55,1%,51,3,-560%,4,027,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Molise,94,89.865,3.646,1.239,10,0%,10,3,000%,0,000,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
P.A. Bolzano,851,262.417,3.269,611,83,3%,79,15,970%,4,075,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
P.A. Trento,779,211.892,3.009,555,62,2%,60,11,340%,2,037,10000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Piemonte,4.561,1.468.598,36.157,846,299,1%,293,7,350%,6,014,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Puglia,1.668,1.474.983,9.932,252,113,1%,107,3,1380%,6,015,-1430%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Sardegna,774,448.429,4.193,264,61,1%,56,4,180%,5,031,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Sicilia,1.615,1.646.144,23.386,484,188,1%,174,4,000%,14,029,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Toscana,2.573,1.400.324,83.534,2.262,191,0%,187,5,810%,4,011,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Umbria,850,375.306,4.266,493,120,3%,118,14,630%,2,023,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Valle d'Aosta,84,44.420,597,481,7,1%,7,6,1670%,0,000,000%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Veneto,6.395,2.261.171,41.958,862,295,1%,289,6,1330%,6,012,-2500%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
Italia,44.878,22.358.487,444.389,750,3.781,1%,3.653,6,550%,128,022,-150%,Dati della Protezione Civile del 27 Settembre 2022 ore 23:45
