Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,915,584.928,14.963,1.168,176,1%,169,13,-230%,7,055,-2220%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Basilicata,142,188.387,4.932,905,34,1%,33,6,1000%,1,018,000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Calabria,691,578.463,9.792,526,142,1%,137,7,-140%,5,027,-1670%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Campania,2.009,2.286.416,43.831,779,283,1%,272,5,-320%,11,020,-830%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Emilia-Romagna,3.384,1.949.453,40.408,910,1.142,3%,1.114,25,-070%,28,063,-670%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,1.010,522.529,10.160,846,211,2%,206,17,-100%,5,042,-2860%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Lazio,3.279,2.156.990,57.939,1.011,660,1%,629,11,000%,31,054,330%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Liguria,936,601.812,8.941,589,248,3%,238,16,-290%,10,066,000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Lombardia,6.216,3.761.520,82.780,829,1.177,1%,1.155,12,-080%,22,022,480%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Marche,844,650.927,7.901,527,160,2%,153,10,-440%,7,047,4000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Molise,90,93.480,4.709,1.600,8,0%,8,3,-1110%,0,000,000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
P.A. Bolzano,404,280.628,4.111,769,84,2%,83,16,-240%,1,019,-6670%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
P.A. Trento,386,228.631,3.030,559,86,3%,83,15,-570%,3,055,000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Piemonte,3.102,1.581.280,47.352,1.108,714,2%,703,16,-200%,11,026,1000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Puglia,1.319,1.513.568,14.228,362,169,1%,159,4,-250%,10,025,000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Sardegna,703,466.191,7.891,496,97,1%,89,6,-430%,8,050,1430%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Sicilia,1.562,1.684.037,19.827,410,310,2%,293,6,070%,17,035,630%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Toscana,2.381,1.462.179,50.163,1.358,500,1%,481,13,260%,19,051,000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Umbria,816,399.016,6.538,755,248,4%,243,28,250%,5,058,6670%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Valle d'Aosta,82,47.357,1.199,966,19,2%,19,15,-2080%,0,000,000%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Veneto,4.772,2.405.637,57.574,1.182,778,1%,752,15,-350%,26,053,-1330%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
Italia,35.043,23.443.429,498.269,841,7.246,1%,7.019,12,-120%,227,038,-220%,Dati della Protezione Civile del 26 Ottobre 2022 ore 23:45
