Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,92,78.424,2.232,172,81,4%,68,5,460%,13,100,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Basilicata,71,28.515,1.304,236,42,3%,42,8,770%,0,000,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Calabria,234,75.783,4.127,218,135,3%,125,7,160%,10,053,2500%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Campania,531,442.284,9.020,158,386,4%,366,6,140%,20,035,-1300%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Emilia-Romagna,472,407.914,14.842,332,465,3%,411,9,220%,54,121,380%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Friuli Venezia Giulia,99,110.012,943,78,42,4%,31,3,-880%,11,091,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Lazio,425,371.682,16.765,291,592,4%,524,9,-260%,68,118,150%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Liguria,188,108.787,1.994,131,95,5%,85,6,120%,10,066,-910%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Lombardia,518,865.880,12.336,123,374,3%,329,3,280%,45,045,470%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Marche,120,109.235,2.993,198,66,2%,55,4,2500%,11,073,-1540%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Molise,0,14.139,183,61,9,5%,8,3,3330%,1,033,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
P.A. Bolzano,83,74.686,668,125,21,3%,18,3,-1000%,3,056,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
P.A. Trento,44,47.232,499,91,30,6%,30,6,1110%,0,000,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Piemonte,240,370.900,3.509,81,151,4%,142,3,-070%,9,021,-2500%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Puglia,173,261.814,4.572,116,232,5%,207,5,1130%,25,063,1360%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Sardegna,179,69.853,7.789,483,246,3%,224,14,1370%,22,137,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Sicilia,1.491,267.164,24.947,512,842,3%,740,15,150%,102,209,1590%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Toscana,537,267.322,12.111,328,426,4%,385,10,520%,41,111,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Umbria,105,60.981,1.919,221,62,3%,54,6,190%,8,092,1430%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Valle d'Aosta,4,11.986,134,107,4,3%,4,3,-2000%,0,000,000%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Veneto,470,450.264,12.438,255,239,2%,188,4,110%,51,105,630%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
Italia,6.076,4.494.857,135.325,227,4.540,3%,4.036,7,270%,504,085,390%,Dati della Protezione Civile del 24 Agosto 2021 ore 18:31
