Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,6,75.777,1.180,91,25,2%,25,2,420%,0,000,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Basilicata,1,27.224,551,100,15,3%,15,3,1540%,0,000,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Calabria,88,70.287,2.327,123,56,2%,51,3,200%,5,026,2500%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Campania,115,429.276,8.238,144,200,2%,188,3,440%,12,021,910%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Emilia-Romagna,469,391.891,5.237,117,169,3%,161,4,730%,8,018,-1110%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Friuli Venezia Giulia,20,107.592,440,36,10,2%,8,1,-1110%,2,017,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Lazio,550,354.846,7.279,126,274,4%,240,4,1370%,34,059,630%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Liguria,63,104.651,913,60,44,5%,38,2,2260%,6,039,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Lombardia,177,849.493,8.683,87,179,2%,151,2,070%,28,028,370%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Marche,54,104.916,1.691,112,19,1%,15,1,000%,4,026,3330%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Molise,0,13.879,123,41,1,1%,1,0,000%,0,000,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
P.A. Bolzano,1,73.653,264,50,10,4%,10,2,23330%,0,000,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
P.A. Trento,17,46.217,326,60,7,2%,7,1,4000%,0,000,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Piemonte,59,364.655,1.610,37,71,4%,68,2,1720%,3,007,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Puglia,56,255.105,1.871,47,83,4%,75,2,-380%,8,020,-1110%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Sardegna,209,60.315,3.490,217,74,2%,64,4,2080%,10,062,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Sicilia,457,239.553,8.367,172,244,3%,216,4,1250%,28,057,-340%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Toscana,361,248.932,4.407,119,119,3%,103,3,730%,16,043,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Umbria,7,57.702,1.112,128,13,1%,11,1,000%,2,023,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Valle d'Aosta,0,11.743,46,37,1,2%,1,1,000%,0,000,000%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Veneto,407,432.823,10.081,207,80,1%,64,1,490%,16,033,670%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
Italia,3.117,4.320.530,68.236,114,1.694,2%,1.512,3,860%,182,031,220%,Dati della Protezione Civile del 26 Luglio 2021 ore 18:04
