Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,789,581.814,16.652,1.300,180,1%,172,13,-280%,8,062,000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Basilicata,141,187.819,5.118,939,28,1%,27,5,000%,1,018,-5000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Calabria,703,575.943,10.519,565,153,1%,147,8,350%,6,032,-3330%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Campania,1.951,2.279.011,45.040,801,298,1%,286,5,180%,12,021,910%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Emilia-Romagna,2.944,1.939.630,44.359,999,1.112,3%,1.085,24,090%,27,061,-2290%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,941,519.257,11.735,977,192,2%,186,15,-1100%,6,050,000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Lazio,2.903,2.144.858,59.110,1.032,667,1%,630,11,160%,37,065,280%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Liguria,857,598.572,10.052,662,250,2%,240,16,000%,10,066,-910%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Lombardia,6.161,3.739.039,83.986,841,1.217,1%,1.200,12,200%,17,017,000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Marche,842,647.719,8.317,555,160,2%,155,10,-190%,5,033,2500%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Molise,91,93.124,4.517,1.535,9,0%,9,3,-1820%,0,000,000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
P.A. Bolzano,478,279.199,5.335,997,102,2%,100,19,-570%,2,037,-3330%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
P.A. Trento,400,227.327,3.961,731,85,2%,82,15,000%,3,055,000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Piemonte,2.068,1.570.346,52.427,1.226,754,1%,737,17,-200%,17,040,630%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Puglia,1.294,1.508.710,14.805,376,159,1%,152,4,000%,7,018,1670%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Sardegna,620,463.654,7.941,499,98,1%,94,6,-110%,4,025,-2000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Sicilia,1.282,1.678.525,19.390,401,290,1%,272,6,-250%,18,037,1250%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Toscana,2.044,1.454.340,50.466,1.367,475,1%,464,13,-720%,11,030,-830%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Umbria,705,396.344,7.145,826,221,3%,216,25,-050%,5,058,40000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Valle d'Aosta,75,47.067,1.306,1.052,27,2%,27,22,380%,0,000,000%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Veneto,4.486,2.390.224,61.515,1.263,797,1%,766,16,200%,31,064,-610%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
Italia,31.775,23.322.522,523.696,884,7.274,1%,7.047,12,-040%,227,038,-300%,Dati della Protezione Civile del 22 Ottobre 2022 ore 23:45
