Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,49,1324,6,177,23,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Basilicata,28,364,1,88,13,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Calabria,129,964,14,174,3,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Campania,208,3511,16,555,189,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Emilia-Romagna,361,7920,50,889,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Friuli Venezia Giulia,37,1277,9,175,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Lazio,368,6421,57,943,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Liguria,57,1696,4,217,12,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Lombardia,358,6369,59,1530,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Marche,45,971,16,212,60,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Molise,2,176,1,39,26,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
P.A. Bolzano,27,500,6,100,20,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
P.A. Trento,16,517,5,90,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Piemonte,182,5824,24,628,99,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Puglia,151,2745,17,482,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Sardegna,107,1602,18,204,16,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Sicilia,409,3738,49,891,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Toscana,236,5033,32,570,37,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Umbria,44,662,6,84,43,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Veneto,152,6000,43,1000,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Italia,2968,57697,433,9081,541,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
