Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,1,74.762,993,77,27,3%,26,2,000%,1,008,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Basilicata,0,26.933,777,140,23,3%,23,4,000%,0,000,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Calabria,7,68.912,5.445,287,72,1%,66,3,310%,6,032,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Campania,48,424.075,8.584,150,239,3%,216,4,-180%,23,040,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Emilia-Romagna,64,386.757,3.472,78,219,6%,191,4,320%,28,063,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Friuli Venezia Giulia,3,106.914,215,18,14,7%,14,1,000%,0,000,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Lazio,52,345.868,3.326,58,245,7%,190,3,-910%,55,096,-350%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Liguria,0,103.406,159,10,23,14%,16,1,670%,7,046,-1250%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Lombardia,46,841.598,11.225,112,311,3%,250,2,-310%,61,061,-160%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Marche,3,103.617,1.372,91,30,2%,24,2,430%,6,040,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Molise,0,13.717,88,29,8,9%,8,3,000%,0,000,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
P.A. Bolzano,3,73.291,164,31,10,6%,7,1,1670%,3,056,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
P.A. Trento,1,45.759,64,12,5,8%,5,1,-2860%,0,000,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Piemonte,14,362.863,993,23,178,18%,164,4,-570%,14,032,-670%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Puglia,9,253.247,3.472,88,157,5%,143,4,-140%,14,035,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Sardegna,1,57.208,2.338,145,43,2%,40,2,810%,3,019,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Sicilia,84,231.455,4.352,89,195,4%,171,4,560%,24,049,430%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Toscana,33,244.219,2.115,57,122,6%,92,2,340%,30,081,-320%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Umbria,0,56.837,777,89,21,3%,18,2,000%,3,034,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Valle d'Aosta,0,11.685,35,28,1,3%,1,1,000%,0,000,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Veneto,20,425.333,4.716,97,69,1%,58,1,-170%,11,023,000%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
Italia,389,4.258.456,54.682,92,2.012,4%,1.723,3,-110%,289,048,-170%,Dati della Protezione Civile del 28 Giugno 2021 ore 20:51
