Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,233,70.045,9.420,721,512,5%,466,36,-170%,46,352,-800%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Basilicata,206,22.779,5.972,1.072,166,3%,154,28,-670%,12,215,-770%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Calabria,402,56.468,14.235,740,511,4%,467,24,-190%,44,229,-640%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Campania,1.912,377.292,92.018,1.590,1.684,2%,1.541,27,050%,143,247,-070%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Emilia-Romagna,1.010,361.700,56.521,1.265,2.311,4%,2.029,45,-410%,282,631,-170%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Friuli Venezia Giulia,210,103.925,8.756,723,362,4%,319,26,-590%,43,355,-1040%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Lazio,1.311,314.826,47.863,816,2.916,6%,2.578,44,-300%,338,576,120%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Liguria,331,97.280,6.209,402,633,10%,564,37,-380%,69,447,150%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Lombardia,2.509,788.833,57.747,572,5.005,9%,4.352,43,-380%,653,646,-210%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Marche,272,95.508,7.195,474,596,8%,524,35,-110%,72,474,-890%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Molise,74,13.009,618,204,54,9%,40,13,260%,14,463,770%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
P.A. Bolzano,96,70.665,613,115,72,12%,61,11,000%,11,207,1000%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
P.A. Trento,104,43.372,1.228,226,125,10%,99,18,-1540%,26,479,-1030%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Piemonte,1.646,337.953,19.132,441,2.848,15%,2.568,59,-370%,280,645,110%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Puglia,1.895,225.031,49.422,1.233,2.079,4%,1.819,45,-280%,260,649,000%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Sardegna,328,52.644,17.875,1.096,428,2%,375,23,000%,53,325,-360%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Sicilia,1.412,200.490,25.628,516,1.422,6%,1.244,25,-240%,178,358,-220%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Toscana,1.041,219.970,23.989,644,1.781,7%,1.524,41,-170%,257,690,000%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Umbria,141,53.571,3.137,356,228,7%,194,22,-580%,34,386,-560%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Valle d'Aosta,39,10.553,863,688,63,7%,51,41,-730%,12,956,000%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Veneto,1.060,405.031,23.755,484,1.319,6%,1.125,23,-380%,194,395,-670%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
Italia,16.232,3.920.945,472.196,784,25.115,5%,22.094,37,-300%,3.021,501,-180%,Dati della Protezione Civile del 22 Aprile 2021 ore 18:14
