Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,22,74.545,1.302,101,57,4%,56,4,-820%,1,008,-6670%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Basilicata,31,26.764,2.776,502,37,1%,37,7,000%,0,000,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Calabria,69,68.417,7.336,387,134,2%,123,6,-1210%,11,058,1000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Campania,131,423.053,11.080,194,357,3%,334,6,-090%,23,040,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Emilia-Romagna,89,386.028,6.238,140,303,5%,254,6,-560%,49,110,-390%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Friuli Venezia Giulia,23,107.431,4.534,376,8,0%,7,1,-1250%,1,008,-5000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Lazio,119,344.898,4.894,85,449,9%,368,6,-610%,81,141,-470%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Liguria,18,103.103,288,19,41,14%,32,2,-1350%,9,059,-1820%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Lombardia,232,840.247,17.126,171,586,3%,496,5,-710%,90,090,-220%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Marche,21,103.480,2.433,161,48,2%,40,3,-240%,8,053,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Molise,4,13.651,73,24,6,8%,6,2,-3330%,0,000,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
P.A. Bolzano,19,73.229,328,62,11,3%,9,2,000%,2,038,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
P.A. Trento,11,45.711,191,35,11,6%,9,2,-1000%,2,037,-3330%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Piemonte,72,362.439,2.059,48,282,14%,245,6,-990%,37,086,-510%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Puglia,90,252.651,10.231,259,237,2%,218,6,-560%,19,048,-950%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Sardegna,3,57.088,11.643,722,78,1%,72,4,290%,6,037,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Sicilia,228,230.099,5.901,121,318,5%,283,6,-310%,35,072,-280%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Toscana,60,243.680,3.641,99,200,5%,158,4,-870%,42,114,-1600%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Umbria,19,56.723,953,110,38,4%,33,4,310%,5,057,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Valle d'Aosta,3,11.665,74,59,3,4%,3,2,5000%,0,000,000%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Veneto,61,424.853,5.507,113,128,2%,105,2,-280%,23,047,-420%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
Italia,1.325,4.249.755,98.608,165,3.332,3%,2.888,5,-570%,444,074,-570%,Dati della Protezione Civile del 17 Giugno 2021 ore 18:26
