Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,35,74.827,875,68,26,3%,25,2,000%,1,008,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Basilicata,8,26.948,657,119,17,3%,17,3,-560%,0,000,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Calabria,25,68.962,5.101,269,74,1%,69,4,150%,5,026,-1670%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Campania,120,424.312,8.123,142,238,3%,218,4,430%,20,035,-480%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Emilia-Romagna,36,386.827,2.950,66,211,7%,184,4,-520%,27,060,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Friuli Venezia Giulia,12,106.942,192,16,8,4%,8,1,-2000%,0,000,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Lazio,51,345.965,3.068,53,239,8%,190,3,-050%,49,085,-930%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Liguria,10,103.433,146,10,26,18%,19,1,560%,7,046,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Lombardia,129,841.825,10.474,104,269,3%,218,2,-1210%,51,051,-190%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Marche,15,103.640,1.287,85,20,2%,16,1,-2380%,4,026,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Molise,2,13.719,77,26,4,5%,4,1,-5000%,0,000,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
P.A. Bolzano,2,73.301,163,31,9,6%,6,1,000%,3,056,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
P.A. Trento,7,45.770,62,11,5,8%,5,1,000%,0,000,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Piemonte,30,362.924,834,19,166,20%,152,4,-620%,14,032,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Puglia,35,253.341,2.938,74,131,4%,120,3,-840%,11,028,-2670%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Sardegna,17,57.236,2.316,144,39,2%,36,2,1610%,3,019,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Sicilia,142,231.696,4.031,83,175,4%,155,3,-430%,20,041,-1670%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Toscana,37,244.274,1.810,49,114,6%,90,2,-820%,24,065,-1430%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Umbria,8,56.853,727,84,16,2%,15,2,-1180%,1,011,-6670%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Valle d'Aosta,3,11.691,35,28,1,3%,1,1,000%,0,000,000%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Veneto,52,425.423,4.575,94,52,1%,45,1,-1510%,7,014,-1250%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
Italia,776,4.259.909,50.441,85,1.840,4%,1.593,3,-500%,247,041,-850%,Dati della Protezione Civile del 30 Giugno 2021 ore 18:25
