Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,227,31201,15991,1225,722,5%,657,50,-1.4&,65,4.98,1.6%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Basilicata,46,9186,6271,1126,137,2%,122,22,-0.8&,15,2.69,15.4%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Calabria,169,19175,9776,508,394,4%,370,19,-1.1&,24,1.25,-4%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Campania,1198,169992,96165,1662,1929,2%,1789,31,-3.4&,140,2.42,1.4%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Emilia-Romagna,1453,139800,64717,1449,3074,5%,2845,64,-0.4&,229,5.13,-1.7%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Friuli Venezia Giulia,672,37789,14195,1172,714,5%,652,54,-1.7&,62,5.12,-1.6%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Lazio,1488,135913,90767,1547,3375,4%,3036,52,-2.3&,339,5.78,-0.9%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Liguria,320,54684,8958,581,907,10%,822,53,-2.3&,85,5.51,-3.4%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Lombardia,2093,435653,87243,863,6361,7%,5613,56,-2&,748,7.4,-2.3%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Marche,323,33383,13219,871,587,4%,501,33,-3.3&,86,5.66,1.2%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Molise,22,5417,2555,845,60,2%,53,18,8.2&,7,2.32,-12.5%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
P.A. Bolzano,244,26031,10721,2015,270,3%,239,45,-39.8&,31,5.83,3.3%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
P.A. Trento,217,17816,2446,451,479,20%,431,79,0.2&,48,8.84,0%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Piemonte,974,181531,61107,1408,4379,7%,4069,94,-0.8&,310,7.14,-2.5%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Puglia,1332,68506,48802,1218,1800,4%,1600,40,-2.4&,200,4.99,0.5%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Sardegna,248,25279,14994,920,673,4%,610,37,-1.8&,63,3.86,3.3%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Sicilia,1059,75367,36969,744,1539,4%,1342,27,-2.3&,197,3.97,-0.5%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Toscana,517,110440,22332,600,1570,7%,1323,36,-1.8&,247,6.63,-2.4%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Umbria,182,25615,5379,611,365,7%,310,35,-4&,55,6.25,-1.8%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Valle d'Aosta,18,6801,783,624,108,14%,98,78,8.9&,10,7.97,-23.1%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Veneto,4197,177568,83137,1694,2936,4%,2606,53,2.2&,330,6.72,3.4%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
Italia,16999,1787147,696527,1156,32379,5%,29088,48,-1.9&,3291,5.46,-0.9%,Dati della Protezione Civile del 10 Dicembre 2020 ore 19:14
