Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,180,69.126,9.871,756,569,6%,515,39,-190%,54,414,-530%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Basilicata,216,22.061,5.735,1.030,180,3%,166,30,-290%,14,251,-670%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Calabria,472,54.489,13.692,711,503,4%,453,24,-440%,50,260,1110%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Campania,2.232,368.715,92.250,1.594,1.677,2%,1.532,26,170%,145,251,1070%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Emilia-Romagna,1.076,357.231,63.691,1.426,2.591,4%,2.292,51,-310%,299,669,-450%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Friuli Venezia Giulia,155,102.902,9.732,803,453,5%,396,33,-480%,57,471,-340%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Lazio,1.378,309.351,50.828,867,3.156,6%,2.771,47,-310%,385,656,080%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Liguria,321,95.930,6.969,452,657,9%,579,38,-270%,78,505,-600%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Lombardia,2.546,779.737,67.801,671,5.624,8%,4.901,49,-450%,723,716,-070%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Marche,341,94.223,7.629,502,678,9%,577,38,-540%,101,665,-650%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Molise,33,12.822,655,217,67,10%,52,17,200%,15,496,000%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
P.A. Bolzano,79,70.326,346,65,72,21%,60,11,-480%,12,226,-770%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
P.A. Trento,88,42.965,1.377,254,147,11%,116,21,-250%,31,571,-610%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Piemonte,865,333.037,22.403,516,3.415,15%,3.125,72,-210%,290,668,-070%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Puglia,1.525,218.953,51.515,1.285,2.191,4%,1.906,48,060%,285,711,070%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Sardegna,320,51.192,17.844,1.094,419,2%,364,22,140%,55,337,-350%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Sicilia,1.301,194.644,25.477,513,1.405,6%,1.216,24,050%,189,380,000%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Toscana,1.150,215.620,26.370,708,1.815,7%,1.537,41,-130%,278,747,000%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Umbria,114,53.093,3.461,393,270,8%,237,27,-810%,33,375,-290%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Valle d'Aosta,38,10.337,1.019,812,73,7%,61,49,-160%,12,956,-1430%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Veneto,940,400.689,26.643,543,1.478,6%,1.244,25,-600%,234,477,-130%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
Italia,15.370,3.857.443,505.308,839,27.440,5%,24.100,40,-260%,3.340,554,-080%,Dati della Protezione Civile del 17 Aprile 2021 ore 19:51
