Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,5.315,124.093,33.315,2.592,250,1%,226,18,460%,24,187,430%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Basilicata,906,39.516,7.417,1.355,74,1%,71,13,140%,3,055,000%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Calabria,2.204,118.951,21.440,1.142,382,2%,353,19,540%,29,154,000%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Campania,16.972,638.025,122.563,2.158,878,1%,813,14,410%,65,114,1400%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Emilia-Romagna,13.671,588.695,121.821,2.740,1.763,1%,1.622,36,270%,141,317,440%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Friuli Venezia Giulia,3.931,167.777,23.032,1.921,338,1%,309,26,100%,29,242,360%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Lazio,16.464,557.067,117.863,2.060,1.477,1%,1.301,23,150%,176,308,800%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Liguria,2.231,157.871,15.047,997,607,4%,562,37,260%,45,298,000%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Lombardia,51.587,1.380.171,391.445,3.927,2.646,1%,2.420,24,470%,226,227,-340%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Marche,2.147,152.049,9.028,601,296,3%,244,16,380%,52,346,-190%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Molise,496,18.236,2.838,957,24,1%,22,7,480%,2,067,000%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
P.A. Bolzano,1.370,105.091,7.266,1.361,96,1%,78,15,-710%,18,337,-530%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
P.A. Trento,2.372,70.206,13.338,2.448,120,1%,98,18,-200%,22,404,000%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Piemonte,16.937,546.811,110.934,2.596,1.582,1%,1.460,34,350%,122,285,430%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Puglia,5.514,328.360,41.162,1.048,402,1%,364,9,900%,38,097,560%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Sardegna,1.239,92.705,11.318,708,193,2%,174,11,1760%,19,119,000%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Sicilia,7.328,400.459,67.198,1.388,1.028,2%,913,19,220%,115,238,090%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Toscana,16.957,445.737,133.132,3.629,961,1%,871,24,600%,90,245,590%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Umbria,3.967,102.380,30.584,3.536,196,1%,185,21,450%,11,127,1000%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Valle d'Aosta,630,18.085,3.653,2.948,50,1%,45,36,-430%,5,404,2500%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Veneto,16.871,703.750,136.723,2.818,1.429,1%,1.233,25,180%,196,404,100%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
Italia,189.109,6.756.035,1.421.117,2.398,14.792,1%,13.364,23,350%,1.428,241,260%,Dati della Protezione Civile del 05 Gennaio 2022 ore 18:57
