Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,630,553.810,27.394,2.138,111,0%,109,9,-270%,2,016,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Basilicata,130,182.761,4.767,874,16,0%,16,3,-1110%,0,000,-10000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Calabria,536,553.481,37.605,2.021,116,0%,112,6,-260%,4,021,-3330%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Campania,1.530,2.219.866,40.154,714,223,1%,214,4,-230%,9,016,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Emilia-Romagna,1.561,1.851.713,16.655,375,589,4%,569,13,-270%,20,045,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Friuli Venezia Giulia,705,487.175,5.821,484,95,2%,92,8,-320%,3,025,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Lazio,1.966,2.056.232,39.457,689,360,1%,335,6,180%,25,044,-380%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Liguria,540,571.335,5.013,330,110,2%,107,7,-610%,3,020,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Lombardia,4.081,3.540.319,37.810,379,463,1%,455,5,-620%,8,008,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Marche,630,616.894,3.457,231,56,2%,52,3,400%,4,027,3330%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Molise,91,89.625,3.615,1.228,9,0%,9,3,1250%,0,000,-10000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
P.A. Bolzano,362,261.165,2.802,524,57,2%,54,10,380%,3,056,20000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
P.A. Trento,430,210.621,2.754,508,45,2%,44,8,730%,1,018,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Piemonte,2.062,1.461.513,34.127,798,281,1%,275,6,1320%,6,014,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Puglia,872,1.472.249,9.312,237,104,1%,97,2,-100%,7,018,-1250%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Sardegna,334,447.208,4.026,253,57,1%,50,3,-200%,7,044,-1250%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Sicilia,853,1.643.359,22.637,468,187,1%,175,4,-980%,12,025,-1430%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Toscana,1.117,1.396.439,82.553,2.235,166,0%,162,4,320%,4,011,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Umbria,485,373.709,3.737,432,101,3%,100,12,-380%,1,012,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Valle d'Aosta,31,44.305,602,485,6,1%,6,5,2000%,0,000,000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Veneto,3.319,2.251.033,38.701,795,267,1%,260,5,920%,7,014,-3000%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Italia,22.265,22.284.812,422.999,714,3.419,1%,3.293,6,-060%,126,021,-600%,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
