Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,97,69.480,9.758,747,566,6%,514,39,160%,52,398,-710%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Basilicata,47,22.254,5.746,1.032,181,3%,168,30,-120%,13,233,000%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Calabria,156,55.145,13.863,720,522,4%,475,25,440%,47,244,-600%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Campania,1.334,371.749,92.201,1.594,1.686,2%,1.536,27,050%,150,259,270%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Emilia-Romagna,877,359.206,63.287,1.417,2.552,4%,2.256,51,130%,296,663,-030%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Friuli Venezia Giulia,52,103.175,9.395,776,423,5%,371,31,-160%,52,429,-880%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Lazio,950,311.428,50.458,860,3.123,6%,2.753,47,180%,370,631,-050%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Liguria,202,96.391,6.699,434,673,10%,598,39,200%,75,486,-130%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Lombardia,1.040,782.559,59.532,589,5.331,9%,4.623,46,-200%,708,701,-190%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Marche,137,94.637,7.386,486,656,9%,568,37,110%,88,580,-830%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Molise,7,12.885,642,212,55,9%,41,14,000%,14,463,000%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
P.A. Bolzano,10,70.399,358,67,76,21%,65,12,830%,11,207,-830%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
P.A. Trento,13,43.063,1.315,242,161,12%,133,25,310%,28,516,000%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Piemonte,687,334.475,21.584,497,3.328,15%,3.045,70,-180%,283,652,-170%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Puglia,584,220.815,50.426,1.258,2.157,4%,1.897,47,050%,260,649,-910%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Sardegna,199,51.742,18.007,1.104,428,2%,367,23,030%,61,374,520%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Sicilia,1.123,196.642,26.322,530,1.438,5%,1.262,25,410%,176,354,-590%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Toscana,771,217.349,25.713,691,1.850,7%,1.577,42,300%,273,733,110%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Umbria,14,53.220,3.296,374,263,8%,227,26,270%,36,409,590%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Valle d'Aosta,67,10.433,979,780,73,7%,60,48,530%,13,1036,000%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Veneto,497,401.947,26.522,540,1.444,5%,1.206,25,-040%,238,485,080%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
Italia,8.864,3.878.994,493.489,819,26.986,5%,23.742,39,040%,3.244,538,-200%,Dati della Protezione Civile del 19 Aprile 2021 ore 18:17
