Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.189,572.569,18.045,1.409,169,1%,168,13,310%,1,008,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Basilicata,192,186.177,5.382,987,28,1%,27,5,000%,1,018,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Calabria,842,568.131,12.968,697,162,1%,157,8,470%,5,027,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Campania,2.487,2.257.896,46.150,821,296,1%,281,5,-070%,15,027,3640%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Emilia-Romagna,4.853,1.906.484,43.273,975,985,2%,954,21,210%,31,070,1070%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,1.509,507.742,13.637,1.135,244,2%,232,19,-370%,12,100,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Lazio,3.670,2.111.967,54.178,945,570,1%,534,9,470%,36,063,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Liguria,1.228,588.386,9.542,628,206,2%,200,13,530%,6,040,-1430%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Lombardia,9.126,3.665.125,89.634,898,1.115,1%,1.101,11,590%,14,014,-670%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Marche,1.294,637.146,8.656,578,114,1%,113,8,-170%,1,007,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Molise,161,91.864,4.175,1.419,7,0%,7,2,000%,0,000,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
P.A. Bolzano,832,272.880,6.311,1.180,132,2%,127,24,-860%,5,093,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
P.A. Trento,881,221.942,5.428,1.001,98,2%,95,18,1180%,3,055,5000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Piemonte,5.170,1.531.449,56.592,1.324,741,1%,723,17,480%,18,042,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Puglia,1.644,1.494.671,13.775,350,134,1%,126,3,-080%,8,020,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Sardegna,750,456.901,6.588,414,101,2%,98,6,210%,3,019,-4000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Sicilia,1.595,1.664.849,14.908,308,248,2%,231,5,450%,17,035,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Toscana,2.716,1.432.887,48.677,1.318,458,1%,439,12,790%,19,051,-950%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Umbria,1.072,388.389,8.392,970,178,2%,177,20,000%,1,012,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Valle d'Aosta,142,46.018,1.423,1.147,31,2%,31,25,330%,0,000,000%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Veneto,6.410,2.341.023,65.717,1.349,695,1%,663,14,570%,32,066,670%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
Italia,47.763,22.944.496,533.451,901,6.712,1%,6.484,11,360%,228,038,180%,Dati della Protezione Civile del 12 Ottobre 2022 ore 23:45
