Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,54,80.917,1.847,143,68,4%,64,5,-300%,4,031,-2000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Basilicata,32,29.918,1.250,226,51,4%,48,9,-400%,3,054,000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Calabria,143,83.032,4.185,221,171,4%,158,8,-600%,13,069,-710%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Campania,348,454.736,7.493,131,286,4%,268,5,-500%,18,032,2860%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Emilia-Romagna,327,421.975,13.640,306,437,3%,392,9,130%,45,101,-820%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Friuli Venezia Giulia,84,113.369,1.159,96,56,5%,46,4,000%,10,083,-910%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Lazio,361,382.891,10.393,181,446,4%,395,7,-200%,51,089,-380%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Liguria,69,112.280,1.108,73,70,6%,64,4,-1230%,6,039,2000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Lombardia,488,881.642,10.735,107,474,4%,414,4,050%,60,060,-160%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Marche,73,113.476,2.654,175,81,3%,61,4,340%,20,132,-480%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Molise,10,14.482,147,49,5,3%,3,1,-2500%,2,067,000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
P.A. Bolzano,64,76.606,952,179,28,3%,18,3,-1430%,10,188,1110%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
P.A. Trento,21,48.240,427,78,22,5%,19,3,560%,3,055,000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Piemonte,213,377.958,3.773,88,204,5%,181,4,280%,23,053,000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Puglia,157,267.862,2.978,75,187,6%,168,4,-450%,19,048,-1360%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Sardegna,73,74.991,2.815,175,176,6%,157,10,-710%,19,118,000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Sicilia,464,295.676,17.568,360,623,4%,543,11,-540%,80,164,-240%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Toscana,334,280.734,7.720,209,348,5%,299,8,-230%,49,133,-390%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Umbria,52,63.561,1.058,122,45,4%,42,5,-230%,3,034,-4000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Valle d'Aosta,2,12.099,57,46,2,4%,2,2,000%,0,000,000%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Veneto,428,467.251,11.597,238,262,2%,211,4,-190%,51,105,-380%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
Italia,3.797,4.653.696,103.556,174,4.042,4%,3.553,6,-270%,489,082,-320%,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15
