Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,1.213,267.035,63.540,4.960,337,1%,324,25,-330%,13,101,000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Basilicata,526,84.752,19.531,3.583,94,0%,91,17,-220%,3,055,000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Calabria,1.805,221.177,46.270,2.487,289,1%,272,15,-180%,17,091,000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Campania,3.627,1.217.506,125.712,2.235,682,1%,645,11,-420%,37,066,-1190%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Emilia-Romagna,2.304,1.192.388,31.166,702,1.298,4%,1.229,28,-370%,69,155,950%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Friuli Venezia Giulia,607,310.064,17.903,1.490,196,1%,180,15,-580%,16,133,000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Lazio,4.771,1.086.306,122.160,2.132,1.328,1%,1.230,21,-440%,98,171,-930%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Liguria,1.062,348.256,13.304,876,296,2%,281,19,-730%,15,099,-1180%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Lombardia,4.386,2.347.405,114.932,1.151,1.041,1%,951,10,-300%,90,090,-820%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Marche,1.158,331.229,17.712,1.182,202,1%,181,12,280%,21,140,500%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Molise,225,39.771,5.877,1.997,29,0%,26,9,-710%,3,102,000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
P.A. Bolzano,526,189.544,4.776,893,67,1%,65,12,-850%,2,037,10000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
P.A. Trento,334,139.922,3.184,587,50,2%,46,8,220%,4,074,-2000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Piemonte,1.787,983.763,43.369,1.014,834,2%,798,19,-500%,36,084,-1000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Puglia,3.696,745.543,75.505,1.919,615,1%,580,15,-020%,35,089,610%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Sardegna,1.305,179.644,26.305,1.654,347,1%,321,20,-120%,26,164,-1030%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Sicilia,4.411,802.058,222.408,4.601,1.034,0%,967,20,-390%,67,139,310%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Toscana,2.879,864.234,26.028,705,796,3%,743,20,-360%,53,144,-360%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Umbria,935,186.976,9.269,1.071,152,2%,146,17,210%,6,069,2000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Valle d'Aosta,25,31.527,1.282,1.033,20,2%,17,14,-560%,3,242,000%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Veneto,3.918,1.341.406,51.229,1.052,546,1%,506,10,-540%,40,082,-1110%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
Italia,41.500,12.910.506,1.041.462,1.758,10.253,1%,9.599,16,-360%,654,110,-400%,Dati della Protezione Civile del 03 Marzo 2022 ore 20:25
