Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,882,543.231,27.459,2.144,134,0%,129,10,-150%,5,039,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Basilicata,285,180.127,7.087,1.300,35,0%,34,6,-1050%,1,018,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Calabria,1.078,543.503,55.652,2.991,169,0%,164,9,450%,5,027,-1670%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Campania,2.455,2.192.952,96.567,1.717,279,0%,271,5,-220%,8,014,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Emilia-Romagna,1.057,1.829.133,16.392,369,822,5%,792,18,-410%,30,068,340%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Friuli Venezia Giulia,679,478.374,6.197,516,139,2%,137,11,000%,2,017,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Lazio,2.131,2.027.412,53.011,925,540,1%,503,9,180%,37,065,-260%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Liguria,668,563.111,5.427,357,171,3%,170,11,-120%,1,007,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Lombardia,3.980,3.488.251,38.710,388,583,2%,569,6,-100%,14,014,770%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Marche,816,607.911,5.653,377,79,1%,76,5,-130%,3,020,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Molise,103,88.043,4.408,1.498,9,0%,7,2,-3000%,2,068,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
P.A. Bolzano,335,256.311,1.833,343,22,1%,21,4,-450%,1,019,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
P.A. Trento,348,205.348,2.894,534,60,2%,58,11,-650%,2,037,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Piemonte,1.818,1.436.524,32.448,759,264,1%,255,6,-860%,9,021,1250%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Puglia,1.303,1.458.724,16.841,428,201,1%,193,5,430%,8,020,1430%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Sardegna,631,441.335,8.741,550,90,1%,84,5,120%,6,038,-1430%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Sicilia,1.595,1.627.019,70.145,1.451,342,0%,315,7,-1100%,27,056,800%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Toscana,1.218,1.381.088,80.046,2.168,236,0%,230,6,500%,6,016,-1430%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Umbria,358,367.168,2.726,315,126,5%,126,15,-230%,0,000,-10000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Valle d'Aosta,41,43.807,736,593,2,0%,2,2,-3330%,0,000,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Veneto,3.074,2.210.353,38.371,788,341,1%,323,7,-390%,18,037,-530%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Italia,24.855,21.969.725,571.344,965,4.644,1%,4.459,8,-230%,185,031,000%,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
