Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,362,416.959,18.886,1.474,115,1%,113,9,560%,2,016,-3330%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Basilicata,230,141.463,11.358,2.084,35,0%,35,6,-280%,0,000,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Calabria,447,402.052,31.316,1.683,141,0%,134,7,-360%,7,038,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Campania,1.499,1.755.121,82.735,1.471,320,0%,305,5,550%,15,027,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Emilia-Romagna,1.725,1.525.174,26.334,593,750,3%,720,16,430%,30,068,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Friuli Venezia Giulia,197,388.181,6.862,571,102,1%,96,8,670%,6,050,5000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Lazio,2.634,1.640.292,121.639,2.123,545,0%,501,9,160%,44,077,230%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Liguria,362,461.063,7.588,500,153,2%,148,10,-070%,5,033,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Lombardia,1.920,2.957.633,57.116,572,605,1%,589,6,590%,16,016,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Marche,334,484.110,3.662,244,75,2%,71,5,760%,4,027,-2000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Molise,91,68.052,1.843,626,8,0%,6,2,000%,2,068,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
P.A. Bolzano,83,222.243,2.309,432,59,3%,57,11,2670%,2,037,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
P.A. Trento,59,170.645,1.909,352,30,2%,29,5,360%,1,018,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Piemonte,801,1.221.117,29.548,691,261,1%,253,6,630%,8,019,3330%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Puglia,1.433,1.163.666,25.095,638,225,1%,218,6,-140%,7,018,-1250%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Sardegna,753,329.830,14.977,942,102,1%,94,6,220%,8,050,1430%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Sicilia,1.551,1.243.952,52.562,1.087,625,1%,599,12,550%,26,054,1820%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Toscana,605,1.176.072,29.630,802,266,1%,256,7,490%,10,027,2500%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Umbria,302,295.154,8.648,999,107,1%,106,12,600%,1,012,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Valle d'Aosta,9,37.197,456,367,12,3%,12,10,910%,0,000,000%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Veneto,1.174,1.796.089,40.176,825,258,1%,243,5,570%,15,031,710%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
Italia,16.571,17.896.065,574.649,970,4.794,1%,4.585,8,430%,209,035,500%,Dati della Protezione Civile del 20 Giugno 2022 ore 23:45
