Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.273,378.491,57.086,4.456,334,1%,322,25,-450%,12,094,000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Basilicata,751,128.999,29.859,5.477,109,0%,106,19,190%,3,055,000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Calabria,2.284,362.346,82.740,4.447,266,0%,251,13,-230%,15,081,-1670%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Campania,7.577,1.618.862,171.273,3.045,766,0%,722,13,300%,44,078,1280%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Emilia-Romagna,2.354,1.419.952,54.164,1.220,1.399,3%,1.369,31,-170%,30,068,000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Friuli Venezia Giulia,1.169,365.250,24.235,2.017,170,1%,167,14,060%,3,025,-4000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Lazio,5.053,1.494.814,153.301,2.675,1.203,1%,1.145,20,040%,58,101,-170%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Liguria,1.638,429.774,15.484,1.020,310,2%,293,19,-670%,17,112,630%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Lombardia,9.590,2.781.909,151.438,1.517,1.210,1%,1.176,12,-010%,34,034,-290%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Marche,2.017,448.372,6.495,434,173,3%,168,11,-060%,5,033,000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Molise,243,60.716,8.886,3.019,39,0%,38,13,270%,1,034,000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
P.A. Bolzano,541,211.817,3.686,689,48,1%,48,9,670%,0,000,-10000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
P.A. Trento,434,162.006,3.627,669,78,2%,75,14,000%,3,055,-2500%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Piemonte,3.870,1.151.302,62.922,1.472,780,1%,765,18,000%,15,035,2500%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Puglia,4.766,1.076.284,100.673,2.559,561,1%,536,14,110%,25,064,-380%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Sardegna,2.088,283.627,28.888,1.817,301,1%,291,18,-360%,10,063,-910%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Sicilia,4.615,1.122.004,116.764,2.416,820,1%,775,16,-360%,45,093,-220%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Toscana,3.620,1.104.325,47.605,1.289,616,1%,594,16,-290%,22,060,-430%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Umbria,944,270.343,11.429,1.321,225,2%,220,25,050%,5,058,000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Valle d'Aosta,118,35.247,1.425,1.148,26,2%,26,21,400%,0,000,000%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Veneto,6.126,1.679.828,67.980,1.396,627,1%,608,12,-230%,19,039,1180%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
Italia,62.071,16.586.268,1.199.960,2.026,10.061,1%,9.695,16,-100%,366,062,-050%,Dati della Protezione Civile del 03 Maggio 2022 ore 23:45
