Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,922,534.891,25.476,1.989,170,1%,162,13,-850%,8,062,-1110%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Basilicata,330,177.347,7.894,1.448,43,1%,41,8,790%,2,037,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Calabria,1.526,531.383,68.928,3.705,196,0%,190,10,560%,6,032,-1430%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Campania,1.992,2.171.755,112.735,2.004,336,0%,321,6,-530%,15,027,-630%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Emilia-Romagna,1.711,1.812.352,27.069,610,1.141,4%,1.111,25,-270%,30,068,-320%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Friuli Venezia Giulia,693,472.562,8.400,699,166,2%,161,13,-690%,5,042,6670%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Lazio,1.699,2.009.161,105.952,1.849,664,1%,623,11,-490%,41,072,510%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Liguria,656,556.971,7.373,486,284,4%,277,18,-480%,7,046,-1250%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Lombardia,3.099,3.456.021,44.089,442,780,2%,757,8,050%,23,023,450%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Marche,846,600.626,7.083,473,96,1%,92,6,-610%,4,027,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Molise,180,86.591,4.517,1.535,23,1%,21,7,500%,2,068,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
P.A. Bolzano,219,254.085,2.166,405,25,1%,25,5,-2190%,0,000,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
P.A. Trento,293,202.178,3.141,579,70,2%,69,13,-680%,1,018,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Piemonte,1.273,1.422.156,33.366,781,321,1%,313,7,-030%,8,019,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Puglia,1.356,1.446.656,21.654,550,295,1%,279,7,-240%,16,041,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Sardegna,613,436.443,13.487,848,115,1%,107,7,-700%,8,050,-2730%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Sicilia,1.762,1.612.060,79.255,1.640,531,1%,499,10,-530%,32,066,670%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Toscana,1.025,1.371.148,82.465,2.233,326,0%,317,9,-220%,9,024,-4000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Umbria,354,363.672,4.440,513,163,4%,161,19,520%,2,023,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Valle d'Aosta,38,43.394,815,657,8,1%,8,6,-1110%,0,000,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Veneto,2.851,2.183.613,51.007,1.047,485,1%,470,10,000%,15,031,000%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
Italia,23.438,21.745.065,711.312,1.201,6.238,1%,6.004,10,-270%,234,040,-210%,Dati della Protezione Civile del 25 Agosto 2022 ore 17:39
