Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,15,73.704,5.908,457,200,3%,183,14,280%,17,131,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Basilicata,4,26.019,4.408,797,84,2%,78,14,-490%,6,108,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Calabria,70,65.951,10.894,575,312,3%,283,15,-070%,29,153,360%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Campania,401,416.366,71.270,1.248,999,1%,916,16,-530%,83,145,-240%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Emilia-Romagna,315,382.387,18.521,415,886,5%,763,17,-040%,123,276,080%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Friuli Venezia Giulia,2,106.770,5.233,434,67,1%,58,5,180%,9,075,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Lazio,292,339.904,26.647,463,1.413,5%,1.219,21,-290%,194,337,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Liguria,61,102.358,1.807,119,224,12%,184,12,-320%,40,262,-700%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Lombardia,249,831.336,35.640,355,1.757,5%,1.473,15,-050%,284,283,-340%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Marche,58,102.002,4.501,298,205,5%,169,11,-400%,36,238,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Molise,1,13.551,197,66,20,10%,15,5,000%,5,166,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
P.A. Bolzano,17,72.605,810,152,19,2%,15,3,1540%,4,075,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
P.A. Trento,20,45.198,598,110,51,9%,36,7,290%,15,275,1540%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Piemonte,106,358.565,7.662,178,933,12%,832,19,-340%,101,234,-650%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Puglia,71,248.829,31.769,804,903,3%,808,20,-360%,95,240,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Sardegna,20,56.449,13.323,827,213,2%,184,11,110%,29,180,-1210%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Sicilia,378,223.270,13.016,267,699,5%,601,12,-280%,98,201,-390%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Toscana,245,239.719,10.949,297,741,7%,608,16,-270%,133,360,-150%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Umbria,10,56.111,1.946,224,94,5%,81,9,380%,13,149,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Valle d'Aosta,5,11.504,285,228,15,5%,15,12,-630%,0,000,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Veneto,150,422.074,11.055,227,497,4%,429,9,-340%,68,139,000%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
Italia,2.490,4.194.672,276.439,464,10.332,4%,8.950,15,-230%,1.382,232,-200%,Dati della Protezione Civile del 24 Maggio 2021 ore 17:51
