Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.220,436.439,31.453,2.455,162,1%,157,12,060%,5,039,-2860%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Basilicata,687,147.595,8.736,1.603,56,1%,55,10,780%,1,018,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Calabria,2.196,420.825,41.625,2.237,208,0%,200,11,420%,8,043,1430%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Campania,11.428,1.842.319,122.881,2.185,517,0%,492,9,230%,25,044,-1380%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Emilia-Romagna,6.287,1.584.598,56.644,1.276,1.047,2%,1.019,23,210%,28,063,1670%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Friuli Venezia Giulia,1.715,404.663,15.292,1.273,163,1%,157,13,000%,6,050,-2500%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Lazio,10.367,1.736.335,161.186,2.813,708,0%,650,11,590%,58,101,550%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Liguria,1.873,478.693,16.838,1.109,240,1%,234,15,310%,6,040,5000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Lombardia,11.627,3.074.533,116.886,1.171,1.031,1%,1.007,10,330%,24,024,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Marche,2.057,503.278,9.544,637,112,1%,109,7,000%,3,020,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Molise,336,71.658,3.359,1.141,12,0%,11,4,-3130%,1,034,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
P.A. Bolzano,578,228.215,4.709,880,64,1%,63,12,000%,1,019,-5000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
P.A. Trento,498,175.807,4.360,804,46,1%,45,8,000%,1,018,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Piemonte,2.166,1.258.159,44.484,1.041,376,1%,364,9,250%,12,028,2000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Puglia,6.968,1.219.225,52.666,1.339,352,1%,338,9,530%,14,036,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Sardegna,2.386,355.915,28.232,1.776,138,0%,128,8,080%,10,063,-910%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Sicilia,7.097,1.314.036,92.411,1.912,855,1%,823,17,010%,32,066,1850%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Toscana,4.527,1.221.652,60.220,1.631,491,1%,476,13,890%,15,041,2500%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Umbria,1.482,308.521,15.404,1.780,187,1%,182,21,400%,5,058,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Valle d'Aosta,95,38.042,821,662,13,2%,13,10,000%,0,000,000%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Veneto,8.110,1.875.446,77.813,1.598,532,1%,512,11,320%,20,041,530%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
Italia,84.700,18.695.954,965.564,1.630,7.310,1%,7.035,12,300%,275,046,420%,Dati della Protezione Civile del 02 Luglio 2022 ore 23:45
