Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,100,80.476,2.042,158,77,4%,70,5,-410%,7,054,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Basilicata,35,29.674,1.317,238,50,4%,46,8,000%,4,072,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Calabria,203,81.694,4.835,255,191,4%,177,9,000%,14,074,-1250%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Campania,475,451.994,7.812,137,354,5%,330,6,-060%,24,042,910%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Emilia-Romagna,364,419.249,13.372,300,471,4%,427,10,-510%,44,099,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Friuli Venezia Giulia,111,112.717,1.399,116,57,4%,48,4,210%,9,075,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Lazio,314,380.302,11.665,203,489,4%,433,8,-140%,56,097,-510%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Liguria,93,111.678,1.564,103,89,6%,82,5,-570%,7,046,-1250%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Lombardia,573,878.166,11.146,111,494,4%,437,4,050%,57,057,-340%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Marche,117,112.760,2.992,198,81,3%,54,4,-360%,27,178,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Molise,7,14.429,205,68,9,4%,7,2,000%,2,067,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
P.A. Bolzano,69,76.165,977,183,26,3%,20,4,-2000%,6,113,-2500%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
P.A. Trento,26,48.010,475,87,20,4%,19,3,-500%,1,018,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Piemonte,263,376.179,3.764,87,218,6%,194,4,-100%,24,056,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Puglia,248,266.706,3.368,85,204,6%,184,5,-110%,20,051,530%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Sardegna,107,74.535,4.188,260,207,5%,186,12,-410%,21,130,-1250%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Sicilia,878,291.362,22.720,466,796,4%,697,14,-480%,99,203,100%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Toscana,435,278.087,8.732,236,398,5%,348,9,-170%,50,135,-380%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Umbria,84,63.083,1.247,143,49,4%,43,5,490%,6,069,-1430%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Valle d'Aosta,2,12.069,66,53,2,3%,2,2,-3330%,0,000,000%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Veneto,613,463.820,12.456,255,267,2%,214,4,-610%,53,109,600%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Italia,5.117,4.623.155,116.342,195,4.549,4%,4.018,7,-270%,531,089,-170%,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
