Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,27,74.628,1.275,99,45,4%,44,3,480%,1,008,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Basilicata,36,26.827,1.300,235,33,3%,33,6,000%,0,000,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Calabria,54,68.659,6.869,363,100,1%,89,5,-1100%,11,058,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Campania,82,423.381,10.372,182,310,3%,287,5,-300%,23,040,1500%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Emilia-Romagna,73,386.265,5.590,125,261,5%,223,5,-430%,38,085,-260%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Friuli Venezia Giulia,7,107.476,4.479,371,7,0%,6,0,5000%,1,008,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Lazio,68,345.214,4.239,74,377,9%,300,5,-630%,77,134,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Liguria,18,103.151,278,18,42,15%,34,2,-290%,8,052,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Lombardia,145,840.689,13.657,136,485,4%,408,4,150%,77,077,-380%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Marche,15,103.539,2.012,133,39,2%,33,2,310%,6,040,-2500%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Molise,12,13.682,90,30,6,7%,6,2,000%,0,000,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
P.A. Bolzano,8,73.254,276,52,9,3%,6,1,-2500%,3,056,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
P.A. Trento,4,45.731,149,27,11,7%,9,2,000%,2,037,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Piemonte,31,362.594,1.698,39,252,15%,220,5,-220%,32,074,670%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Puglia,45,252.863,8.859,224,204,2%,187,5,050%,17,043,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Sardegna,9,57.118,11.578,718,73,1%,68,4,000%,5,031,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Sicilia,135,230.587,5.560,114,265,5%,239,5,-040%,26,053,-710%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Toscana,55,243.864,3.270,89,172,5%,134,4,-690%,38,103,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Umbria,27,56.771,890,102,30,3%,26,3,-1330%,4,046,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Valle d'Aosta,4,11.674,57,46,4,7%,4,3,3330%,0,000,000%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Veneto,26,425.009,5.212,107,108,2%,88,2,000%,20,041,-910%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Italia,881,4.252.976,87.710,147,2.833,3%,2.444,4,-240%,389,065,-130%,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
