Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.679,513.766,43.011,3.358,279,1%,269,21,-430%,10,078,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Basilicata,358,172.072,12.392,2.273,74,1%,71,13,000%,3,055,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Calabria,1.592,503.430,74.298,3.993,301,0%,290,16,-400%,11,059,-830%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Campania,3.650,2.124.481,141.378,2.514,596,0%,573,10,-430%,23,041,-420%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Emilia-Romagna,3.530,1.772.388,51.576,1.162,1.629,3%,1.578,36,-350%,51,115,-560%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Friuli Venezia Giulia,1.170,457.979,19.792,1.647,275,1%,271,23,-180%,4,033,-4290%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Lazio,3.561,1.966.965,196.586,3.431,1.087,1%,1.029,18,000%,58,101,-490%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Liguria,1.310,540.405,17.314,1.140,421,2%,416,27,-460%,5,033,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Lombardia,5.369,3.392.728,101.152,1.013,1.330,1%,1.294,13,-400%,36,036,-2340%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Marche,1.519,581.437,16.953,1.132,199,1%,193,13,160%,6,040,-2500%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Molise,244,83.083,5.222,1.774,22,0%,20,7,530%,2,068,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
P.A. Bolzano,436,248.658,4.432,829,62,1%,62,12,1070%,0,000,-10000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
P.A. Trento,455,195.968,5.386,993,73,1%,70,13,-410%,3,055,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Piemonte,2.434,1.393.178,45.890,1.073,538,1%,525,12,230%,13,030,1820%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Puglia,3.047,1.410.745,50.402,1.281,455,1%,438,11,-540%,17,043,-560%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Sardegna,1.198,422.162,28.329,1.782,184,1%,169,11,000%,15,094,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Sicilia,3.498,1.570.968,168.459,3.485,891,1%,846,18,-390%,45,093,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Toscana,2.115,1.346.959,90.702,2.456,664,1%,642,17,-200%,22,060,-2140%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Umbria,768,354.071,17.966,2.076,241,1%,236,27,-450%,5,058,-1670%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Valle d'Aosta,83,42.284,1.274,1.027,26,2%,25,20,000%,1,081,000%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Veneto,4.960,2.119.832,82.780,1.700,749,1%,717,15,-280%,32,066,-1110%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
Italia,42.976,21.213.559,1.175.294,1.984,10.096,1%,9.734,16,-270%,362,061,-860%,Dati della Protezione Civile del 04 Agosto 2022 ore 23:45
