Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,51,1324,6,177,23,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Basilicata,23,362,0,88,13,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Calabria,75,966,8,174,3,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Campania,176,3511,20,555,189,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Emilia-Romagna,278,7920,30,889,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Friuli Venezia Giulia,50,1277,8,175,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Lazio,322,6421,50,943,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Liguria,55,1700,13,217,12,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Lombardia,281,6369,49,1530,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Marche,45,964,11,212,63,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Molise,5,176,1,39,26,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
P.A. Bolzano,38,500,6,100,20,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
P.A. Trento,4,517,2,90,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Piemonte,179,5824,18,628,99,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Puglia,129,2745,16,482,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Sardegna,53,1602,7,204,16,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Sicilia,268,3685,42,901,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Toscana,220,5033,21,570,38,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Umbria,34,662,5,84,43,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Valle d'Aosta,6,83,0,33,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Veneto,163,6000,25,1000,0,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
Italia,2455,57641,338,9091,545,Dati della Protezione Civile del 23 Ottobre 2021 ore 19:38
