Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,672,1486,87,213,0,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Basilicata,114,422,14,88,13,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Calabria,231,929,35,152,25,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Campania,1444,4185,144,620,36,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Emilia-Romagna,3044,6412,307,760,0,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Friuli Venezia Giulia,478,1277,60,175,0,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Lazio,2049,6421,261,943,193,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Liguria,521,1797,62,222,12,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Lombardia,5416,11772,611,1416,114,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Marche,631,1176,103,233,40,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Molise,99,221,26,39,0,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
P.A. Bolzano,176,542,39,100,0,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
P.A. Trento,199,584,49,90,15,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Piemonte,2432,5824,228,628,99,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Puglia,1369,3623,163,569,80,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Sardegna,185,1602,24,208,35,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Sicilia,665,3907,112,834,196,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Toscana,1215,5033,209,586,17,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Umbria,431,852,79,139,2,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Valle d'Aosta,9,227,2,20,12,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Veneto,1013,6000,141,1000,0,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
Italia,22393,64292,2756,9035,889,Dati della Protezione Civile del 09 Marzo 2021 ore 18:41
