Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,599,403.606,24.183,1.888,243,1%,236,18,040%,7,055,1670%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Basilicata,165,136.885,25.965,4.763,58,0%,57,10,750%,1,018,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Calabria,556,386.611,43.416,2.333,172,0%,165,9,-830%,7,038,-2220%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Campania,2.345,1.701.590,131.801,2.343,469,0%,443,8,210%,26,046,400%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Emilia-Romagna,0,1.479.045,26.876,605,964,4%,938,21,000%,26,059,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Friuli Venezia Giulia,382,377.790,20.447,1.702,101,0%,99,8,-750%,2,017,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Lazio,2.627,1.566.722,129.727,2.264,658,1%,619,11,-240%,39,068,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Liguria,556,447.785,7.682,506,170,2%,162,11,-060%,8,053,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Lombardia,2.742,2.882.315,110.530,1.107,752,1%,720,7,-760%,32,032,-590%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Marche,619,471.340,3.913,261,96,2%,93,6,-1060%,3,020,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Molise,61,65.492,3.898,1.325,15,0%,12,4,000%,3,102,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
P.A. Bolzano,182,217.609,2.030,380,37,2%,36,7,000%,1,019,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
P.A. Trento,176,167.194,1.733,320,43,2%,40,7,810%,3,055,-2500%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Piemonte,1.274,1.193.899,28.868,675,365,1%,348,8,-590%,17,040,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Puglia,1.478,1.127.434,28.340,720,352,1%,339,9,210%,13,033,-2350%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Sardegna,913,309.097,17.963,1.130,170,1%,159,10,-650%,11,069,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Sicilia,2.063,1.183.330,76.342,1.579,579,1%,555,11,-380%,24,050,-1110%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Toscana,1.390,1.146.405,30.149,816,328,1%,311,8,-520%,17,046,1330%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Umbria,426,284.770,7.950,919,132,2%,130,15,-080%,2,023,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Valle d'Aosta,25,36.483,1.098,885,16,1%,15,12,-2110%,1,081,000%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Veneto,1.743,1.747.897,32.077,659,324,1%,305,6,-760%,19,039,-500%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Italia,20.322,17.333.299,754.988,1.275,6.044,1%,5.782,10,-310%,262,044,-330%,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
