Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,4,79.591,2.183,169,87,4%,83,6,000%,4,031,-2000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Basilicata,4,29.204,1.408,254,50,4%,47,8,440%,3,054,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Calabria,121,79.345,5.176,273,191,4%,178,9,110%,13,069,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Campania,192,448.139,8.561,150,379,4%,351,6,-490%,28,049,-970%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Emilia-Romagna,513,415.057,15.658,351,459,3%,410,9,490%,49,110,-390%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Friuli Venezia Giulia,35,111.558,1.338,111,63,5%,48,4,1160%,15,124,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Lazio,295,376.953,13.967,243,533,4%,469,8,450%,64,111,160%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Liguria,52,110.573,2.008,132,83,4%,74,5,280%,9,059,1250%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Lombardia,177,872.843,11.367,113,431,4%,375,4,270%,56,056,-340%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Marche,49,111.441,3.481,230,78,2%,57,4,-500%,21,139,-450%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Molise,4,14.355,252,84,13,5%,13,4,000%,0,000,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
P.A. Bolzano,17,75.437,823,155,31,4%,24,5,-1430%,7,131,4000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
P.A. Trento,17,47.669,429,79,17,4%,17,3,-560%,0,000,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Piemonte,99,373.881,3.835,89,207,5%,186,4,1340%,21,049,-450%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Puglia,122,264.905,4.297,109,250,6%,228,6,090%,22,056,1000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Sardegna,123,73.350,6.568,408,263,4%,235,15,170%,28,174,370%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Sicilia,943,283.402,28.951,594,975,3%,855,18,120%,120,246,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Toscana,313,274.304,10.788,292,452,4%,396,11,100%,56,152,-340%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Umbria,7,62.279,1.593,183,57,4%,50,6,420%,7,080,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Valle d'Aosta,0,12.034,95,76,1,1%,1,1,000%,0,000,000%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Veneto,274,458.467,13.242,271,252,2%,205,4,350%,47,096,680%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
Italia,3.361,4.574.787,136.020,228,4.872,4%,4.302,7,200%,570,096,-030%,Dati della Protezione Civile del 06 Settembre 2021 ore 18:44
