Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,329,60416,12806,981,772,6%,685,52,1.8%,87,6.66,-6.5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Basilicata,67,17516,4121,740,174,4%,157,28,9%,17,3.05,6.3%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Calabria,213,41398,7636,397,286,4%,258,13,4.9%,28,1.45,-6.7%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Campania,1823,305445,97046,1677,1704,2%,1543,27,0.9%,161,2.78,0%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Emilia-Romagna,2822,302148,68293,1529,3837,6%,3464,78,4.3%,373,8.35,2.5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Friuli Venezia Giulia,398,86545,14438,1192,602,4%,532,44,0.8%,70,5.78,4.5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Lazio,1536,257332,43439,741,2590,6%,2297,39,3.7%,293,5,5%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Liguria,242,82886,6337,411,632,10%,568,37,6.2%,64,4.15,1.6%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Lombardia,2185,669223,93163,922,6926,7%,6198,61,2%,728,7.21,2%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Marche,415,78590,10442,688,854,8%,722,48,2.7%,132,8.69,0.8%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Molise,17,11644,1523,504,121,8%,101,33,5.2%,20,6.62,11.1%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
P.A. Bolzano,13,56353,3933,739,192,5%,159,30,-0.6%,33,6.2,0%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
P.A. Trento,104,37894,4056,747,261,6%,213,39,6.5%,48,8.84,2.1%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Piemonte,1742,275221,30200,696,3346,11%,3070,71,6.4%,276,6.36,3.4%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Puglia,715,166273,39123,976,1701,4%,1512,38,3.7%,189,4.72,8.6%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Sardegna,74,42553,12835,787,203,2%,176,11,2.9%,27,1.66,0%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Sicilia,523,161330,14756,297,825,6%,718,14,3.9%,107,2.15,7%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Toscana,1106,174088,24566,660,1643,7%,1402,38,2.9%,241,6.47,2.1%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Umbria,66,48043,5987,680,481,8%,407,46,1.2%,74,8.41,-6.3%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Valle d'Aosta,36,8341,333,265,18,5%,15,12,7.1%,3,2.39,50%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Veneto,841,355155,35324,720,1327,4%,1141,23,3.1%,186,3.79,2.8%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
Italia,15267,3238394,530357,880,28495,5%,25338,42,3.3%,3157,5.24,2.4%,Dati della Protezione Civile del 15 Marzo 2021 ore 18:30
