Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,895,569.274,17.814,1.391,158,1%,157,12,130%,1,008,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Basilicata,165,185.587,5.275,968,28,1%,28,5,770%,0,000,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Calabria,737,565.475,14.779,794,141,1%,135,7,230%,6,032,2000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Campania,1.935,2.250.579,46.412,825,299,1%,290,5,1200%,9,016,-1820%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Emilia-Romagna,3.794,1.896.188,39.500,890,911,2%,887,20,530%,24,054,2630%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Friuli Venezia Giulia,833,503.865,13.165,1.096,241,2%,230,19,550%,11,092,2220%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Lazio,3.023,2.101.271,51.553,900,525,1%,490,9,-020%,35,061,610%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Liguria,903,584.926,8.837,582,173,2%,166,11,920%,7,046,1670%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Lombardia,6.231,3.639.745,82.063,822,935,1%,920,9,360%,15,015,1540%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Marche,989,633.284,8.349,557,80,1%,78,5,-130%,2,013,10000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Molise,140,91.456,4.207,1.430,7,0%,7,2,-3000%,0,000,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
P.A. Bolzano,470,270.428,5.957,1.114,131,2%,125,23,1570%,6,112,2000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
P.A. Trento,585,219.775,5.282,974,81,2%,78,14,400%,3,055,-2500%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Piemonte,3.672,1.517.132,54.160,1.267,629,1%,611,14,-270%,18,042,590%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Puglia,1.122,1.490.151,12.678,322,141,1%,136,3,300%,5,013,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Sardegna,416,454.553,6.067,382,91,1%,86,5,890%,5,031,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Sicilia,1.090,1.660.868,13.012,269,230,2%,216,4,380%,14,029,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Toscana,1.809,1.425.505,45.735,1.238,369,1%,353,10,960%,16,043,2310%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Umbria,888,385.699,8.008,925,161,2%,156,18,760%,5,058,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Valle d'Aosta,89,45.613,1.344,1.083,20,1%,20,16,1110%,0,000,000%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Veneto,4.658,2.324.362,63.694,1.308,559,1%,530,11,150%,29,060,360%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
Italia,34.444,22.815.736,507.891,857,5.910,1%,5.699,10,380%,211,036,880%,Dati della Protezione Civile del 09 Ottobre 2022 ore 23:45
