Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.616,453.988,44.917,3.506,201,0%,197,15,370%,4,031,000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Basilicata,1.002,154.156,12.423,2.279,71,1%,71,13,140%,0,000,000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Calabria,2.999,439.852,54.532,2.931,300,1%,288,15,790%,12,064,2000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Campania,12.814,1.929.365,171.325,3.046,691,0%,655,12,1030%,36,064,-770%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Emilia-Romagna,6.910,1.632.663,75.385,1.698,1.269,2%,1.228,28,120%,41,092,-680%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Friuli Venezia Giulia,2.057,416.538,20.236,1.684,181,1%,175,15,360%,6,050,000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Lazio,9.808,1.805.846,193.854,3.383,879,0%,814,14,230%,65,113,-1100%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Liguria,2.265,493.299,20.904,1.377,326,2%,318,21,160%,8,053,000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Lombardia,12.646,3.157.791,146.737,1.470,1.290,1%,1.263,13,360%,27,027,800%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Marche,2.828,521.792,19.691,1.314,159,1%,153,10,700%,6,040,000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Molise,432,74.634,4.449,1.512,22,0%,21,7,1670%,1,034,000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
P.A. Bolzano,704,232.604,5.958,1.114,72,1%,70,13,290%,2,037,10000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
P.A. Trento,678,180.167,5.957,1.099,73,1%,73,13,2590%,0,000,-10000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Piemonte,5.223,1.292.565,55.399,1.296,487,1%,476,11,-210%,11,026,-1540%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Puglia,8.251,1.274.218,81.405,2.069,442,1%,425,11,020%,17,043,-560%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Sardegna,2.033,373.474,35.136,2.210,171,0%,159,10,-190%,12,075,910%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Sicilia,8.584,1.374.887,119.386,2.470,1.011,1%,970,20,090%,41,085,250%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Toscana,5.071,1.255.695,76.511,2.072,639,1%,618,17,230%,21,057,-2220%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Umbria,1.789,320.097,20.337,2.350,223,1%,217,25,-140%,6,069,2000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Valle d'Aosta,120,38.859,1.172,944,16,1%,15,12,-2500%,1,081,000%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Veneto,9.214,1.935.448,97.151,1.995,685,1%,658,14,330%,27,055,-690%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
Italia,98.044,19.357.938,1.262.865,2.132,9.208,1%,8.864,15,270%,344,058,-470%,Dati della Protezione Civile del 09 Luglio 2022 ore 23:45
