Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.248,297.480,42.749,3.337,287,1%,274,21,-110%,13,101,000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Basilicata,1.079,99.262,22.733,4.170,98,0%,95,17,-690%,3,055,-2500%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Calabria,3.322,273.653,67.530,3.629,399,1%,386,21,240%,13,070,000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Campania,8.093,1.334.904,153.191,2.724,654,0%,620,11,080%,34,060,-290%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Emilia-Romagna,4.295,1.248.646,42.654,961,1.007,2%,953,21,030%,54,122,190%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Friuli Venezia Giulia,1.278,325.969,21.763,1.811,134,1%,129,11,-370%,5,042,2500%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Lazio,8.340,1.218.989,109.126,1.904,1.170,1%,1.097,19,150%,73,127,140%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Liguria,1.539,373.589,16.989,1.119,253,1%,246,16,-200%,7,046,-1250%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Lombardia,9.206,2.470.119,147.891,1.482,987,1%,940,9,060%,47,047,440%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Marche,2.616,372.151,16.784,1.120,227,1%,220,15,280%,7,047,1670%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Molise,524,45.974,7.853,2.668,28,0%,28,10,1200%,0,000,-10000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
P.A. Bolzano,686,201.180,6.072,1.135,73,1%,68,13,-560%,5,093,000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
P.A. Trento,451,146.222,3.608,665,41,1%,40,7,260%,1,018,000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Piemonte,2.820,1.027.870,50.034,1.170,585,1%,562,13,-110%,23,054,000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Puglia,7.270,859.102,110.360,2.805,638,1%,603,15,-270%,35,089,940%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Sardegna,2.225,214.804,29.646,1.864,340,1%,322,20,-240%,18,113,-530%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Sicilia,6.481,925.644,239.409,4.953,989,0%,927,19,-200%,62,128,510%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Toscana,5.280,945.634,46.377,1.256,790,2%,755,20,-030%,35,095,610%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Umbria,2.150,220.900,21.455,2.479,195,1%,191,22,-050%,4,046,000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Valle d'Aosta,70,32.133,1.066,859,15,1%,15,12,-1670%,0,000,000%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Veneto,6.287,1.436.225,69.600,1.429,495,1%,468,10,020%,27,055,800%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
Italia,76.260,14.070.450,1.226.890,2.071,9.405,1%,8.939,15,-030%,466,079,240%,Dati della Protezione Civile del 23 Marzo 2022 ore 18:40
