Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,123,79.785,2.190,169,86,4%,80,6,-360%,6,046,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Basilicata,44,29.342,1.411,255,49,3%,45,8,-1000%,4,072,3330%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Calabria,215,79.805,5.020,265,195,4%,179,9,-110%,16,084,2310%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Campania,634,449.084,8.397,147,376,4%,353,6,-030%,23,040,-1150%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Emilia-Romagna,337,415.783,15.114,339,448,3%,403,9,-170%,45,101,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Friuli Venezia Giulia,240,111.874,1.451,120,63,4%,51,4,410%,12,099,-770%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Lazio,372,377.679,13.303,231,530,4%,466,8,-310%,64,111,160%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Liguria,134,110.814,1.839,121,77,4%,69,5,-550%,8,052,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Lombardia,655,874.008,11.243,112,441,4%,386,4,050%,55,055,190%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Marche,207,111.758,3.405,225,80,2%,60,4,170%,20,132,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Molise,19,14.374,241,80,13,5%,13,4,000%,0,000,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
P.A. Bolzano,105,75.612,872,164,29,3%,21,4,-1250%,8,150,1430%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
P.A. Trento,41,47.751,435,80,19,4%,19,3,560%,0,000,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Piemonte,264,374.387,3.727,86,199,5%,176,4,-110%,23,053,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Puglia,243,265.267,3.978,101,239,6%,213,5,000%,26,066,-1610%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Sardegna,218,73.667,5.990,372,254,4%,226,14,-260%,28,174,-670%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Sicilia,877,285.154,28.016,575,939,3%,823,17,-320%,116,238,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Toscana,408,275.015,10.179,276,448,4%,392,11,-050%,56,152,570%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Umbria,77,62.460,1.508,173,59,4%,53,6,390%,6,069,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Valle d'Aosta,5,12.049,100,80,1,1%,1,1,000%,0,000,000%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Veneto,705,459.755,13.162,270,254,2%,206,4,-140%,48,098,430%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Italia,5.923,4.585.423,131.581,221,4.799,4%,4.235,7,-170%,564,095,020%,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
