Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,113,39535,11046,846,487,4%,443,34,-2.4&,44,3.37,2.3%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Basilicata,60,12568,6941,1246,82,1%,77,14,-6.1&,5,0.9,-16.7%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Calabria,191,29520,10095,524,329,3%,305,16,-2.2&,24,1.25,0%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Campania,651,208514,71880,1242,1565,2%,1468,25,1.4&,97,1.68,3.2%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Emilia-Romagna,1034,204174,53241,1192,2752,5%,2520,56,-1.7&,232,5.19,-2.5%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Friuli Venezia Giulia,454,61373,12585,1039,754,6%,691,57,1.6&,63,5.2,0%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Lazio,1100,191615,75236,1283,3073,4%,2768,47,-4.1&,305,5.2,-3.2%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Liguria,235,66261,4811,312,703,15%,643,42,-1.7&,60,3.89,-6.3%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Lombardia,930,516285,53461,529,4044,8%,3619,36,1.9&,425,4.21,-5.3%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Marche,359,50627,9540,628,672,7%,587,39,-0.7&,85,5.6,0%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Molise,18,7604,1096,363,71,6%,62,21,3.3&,9,2.98,-10%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
P.A. Bolzano,436,34120,12466,2343,242,2%,212,40,-0.9&,30,5.64,0%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
P.A. Trento,143,25272,2088,385,317,15%,271,50,-5.6&,46,8.48,0%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Piemonte,716,213911,14438,333,2668,18%,2500,58,1.2&,168,3.87,1.2%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Puglia,850,110681,55191,1377,1496,3%,1354,34,-3.1&,142,3.54,-0.7%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Sardegna,109,36019,17422,1069,559,3%,506,31,0&,53,3.25,3.9%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Sicilia,1641,123648,47527,957,1667,4%,1456,29,0.8&,211,4.25,2.9%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Toscana,241,128438,8255,222,836,10%,715,19,-0.7&,121,3.25,-3.2%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Umbria,225,32622,4636,527,339,7%,292,33,2.8&,47,5.34,-4.1%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Valle d'Aosta,34,7684,398,317,48,12%,46,37,2.2&,2,1.59,0%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Veneto,957,300127,63171,1287,2482,4%,2164,44,-3.1&,318,6.48,-5.4%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
Italia,10497,2400598,535524,889,25186,5%,22699,38,-0.8&,2487,4.13,-2.2%,Dati della Protezione Civile del 19 Gennaio 2021 ore 18:46
