Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.946,438.385,33.031,2.579,166,1%,160,12,190%,6,047,2000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Basilicata,566,148.161,9.144,1.677,62,1%,61,11,1090%,1,018,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Calabria,1.628,422.453,42.642,2.292,218,1%,211,11,550%,7,038,-1250%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Campania,10.078,1.852.397,130.804,2.326,546,0%,513,9,430%,33,059,3200%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Emilia-Romagna,6.153,1.590.749,59.054,1.330,1.090,2%,1.063,24,430%,27,061,-360%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Friuli Venezia Giulia,1.013,405.673,15.278,1.272,169,1%,162,13,320%,7,058,1670%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Lazio,8.673,1.745.008,166.624,2.908,730,0%,672,12,340%,58,101,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Liguria,1.516,480.209,17.121,1.127,250,1%,244,16,430%,6,040,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Lombardia,8.542,3.083.075,125.283,1.255,1.026,1%,1.002,10,-050%,24,024,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Marche,1.997,505.275,11.709,782,121,1%,115,8,550%,6,040,10000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Molise,400,72.058,3.759,1.277,13,0%,12,4,910%,1,034,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
P.A. Bolzano,375,228.590,4.633,866,54,1%,53,10,-1590%,1,019,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
P.A. Trento,485,176.292,4.561,841,46,1%,45,8,000%,1,018,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Piemonte,4.339,1.262.498,46.526,1.088,397,1%,387,9,630%,10,023,-1670%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Puglia,5.440,1.224.665,55.906,1.421,355,1%,341,9,090%,14,036,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Sardegna,1.620,357.535,29.449,1.852,133,0%,124,8,-310%,9,057,-1000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Sicilia,5.668,1.320.679,96.783,2.002,865,1%,834,17,130%,31,064,-310%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Toscana,3.465,1.225.117,61.263,1.659,524,1%,503,14,570%,21,057,4000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Umbria,1.518,310.039,16.014,1.850,197,1%,191,22,490%,6,069,2000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Valle d'Aosta,77,38.119,836,674,14,2%,14,11,770%,0,000,000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Veneto,6.448,1.881.894,79.523,1.633,527,1%,505,10,-140%,22,045,1000%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
Italia,71.947,18.768.871,1.009.943,1.705,7.503,1%,7.212,12,250%,291,049,580%,Dati della Protezione Civile del 03 Luglio 2022 ore 23:45
