Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,254,542.350,27.237,2.126,136,0%,131,10,560%,5,039,-2860%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Basilicata,108,179.842,7.200,1.321,39,1%,38,7,860%,1,018,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Calabria,293,542.425,56.803,3.053,163,0%,157,8,400%,6,032,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Campania,499,2.190.497,98.478,1.751,285,0%,277,5,490%,8,014,-1110%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Emilia-Romagna,850,1.828.082,16.712,376,855,5%,826,19,210%,29,065,-330%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Friuli Venezia Giulia,144,477.695,5.976,497,139,2%,137,11,460%,2,017,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Lazio,776,2.025.281,55.853,975,532,1%,494,9,-220%,38,066,-260%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Liguria,145,562.443,6.600,435,173,3%,172,11,-340%,1,007,-6670%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Lombardia,738,3.484.271,40.539,406,588,1%,575,6,110%,13,013,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Marche,233,607.095,5.955,397,80,1%,77,5,000%,3,020,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Molise,68,87.940,4.586,1.558,12,0%,10,3,-910%,2,068,10000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
P.A. Bolzano,70,255.976,1.629,305,23,1%,22,4,480%,1,019,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
P.A. Trento,71,205.000,3.050,563,64,2%,62,11,-460%,2,037,10000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Piemonte,398,1.434.706,32.928,770,287,1%,279,7,110%,8,019,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Puglia,352,1.457.421,18.220,463,192,1%,185,5,000%,7,018,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Sardegna,272,440.704,9.642,606,90,1%,83,5,-240%,7,044,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Sicilia,444,1.625.424,68.550,1.418,379,1%,354,7,-660%,25,052,420%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Toscana,211,1.379.870,80.226,2.172,226,0%,219,6,-520%,7,019,-1250%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Umbria,99,366.810,2.895,335,130,4%,129,15,160%,1,012,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Valle d'Aosta,4,43.766,724,583,3,0%,3,2,000%,0,000,000%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Veneto,581,2.207.279,45.657,938,355,1%,336,7,-320%,19,039,-500%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
Italia,6.610,21.944.877,589.460,995,4.751,1%,4.566,8,-020%,185,031,-260%,Dati della Protezione Civile del 05 Settembre 2022 ore 23:45
