Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.374,392.961,30.545,2.384,289,1%,281,22,-140%,8,062,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Basilicata,422,133.523,29.062,5.331,89,0%,87,16,-440%,2,037,-3330%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Calabria,1.194,375.841,68.851,3.700,215,0%,205,11,-470%,10,054,-910%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Campania,3.653,1.664.028,149.122,2.651,652,0%,615,11,-280%,37,066,570%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Emilia-Romagna,3.528,1.453.448,40.195,906,1.203,3%,1.172,26,-180%,31,070,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Friuli Venezia Giulia,612,372.328,23.157,1.927,153,1%,144,12,-830%,9,075,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Lazio,3.431,1.531.932,145.568,2.540,871,1%,820,14,-480%,51,089,200%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Liguria,880,439.675,12.816,844,237,2%,224,15,-130%,13,086,1820%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Lombardia,5.347,2.837.206,135.791,1.360,989,1%,953,10,-350%,36,036,290%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Marche,1.255,461.431,5.773,385,120,2%,117,8,-080%,3,020,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Molise,320,63.563,8.258,2.806,27,0%,25,8,-740%,2,068,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
P.A. Bolzano,283,214.956,3.301,617,47,1%,46,9,-1150%,1,019,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
P.A. Trento,303,164.920,3.021,557,60,2%,58,11,000%,2,037,-3330%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Piemonte,3.124,1.174.659,36.764,860,591,2%,575,13,-600%,16,037,-590%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Puglia,2.599,1.104.883,90.905,2.311,506,1%,483,12,-300%,23,058,-1150%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Sardegna,1.409,296.340,24.192,1.521,267,1%,256,16,200%,11,069,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Sicilia,2.703,1.151.697,96.883,2.004,712,1%,676,14,-100%,36,074,590%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Toscana,1.674,1.126.522,39.845,1.079,490,1%,473,13,-370%,17,046,630%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Umbria,720,278.059,10.244,1.184,211,2%,205,24,-190%,6,069,5000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Valle d'Aosta,62,35.895,1.302,1.049,26,2%,25,20,-740%,1,081,000%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Veneto,3.614,1.719.946,52.268,1.073,493,1%,467,10,-310%,26,053,830%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
Italia,38.507,16.993.813,1.007.863,1.701,8.248,1%,7.907,13,-310%,341,058,210%,Dati della Protezione Civile del 13 Maggio 2022 ore 23:45
