Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,300,1382,14,181,14,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Basilicata,90,377,1,79,14,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Calabria,264,1108,17,202,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Campania,648,4355,34,636,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Emilia-Romagna,1167,9001,68,889,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Friuli Venezia Giulia,150,1277,12,175,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Lazio,1126,6421,92,943,243,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Liguria,244,1677,16,219,12,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Lombardia,849,10457,81,1810,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Marche,172,1020,19,256,49,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Molise,27,176,2,39,26,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
P.A. Bolzano,67,500,2,100,20,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
P.A. Trento,49,517,3,90,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Piemonte,695,6794,34,628,99,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Puglia,557,2923,31,503,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Sardegna,317,1602,27,204,16,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Sicilia,911,3778,65,853,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Toscana,714,5033,48,570,8,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Umbria,136,662,5,86,41,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Valle d'Aosta,14,163,2,34,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Veneto,477,6000,36,1000,0,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Italia,8974,65223,609,9497,542,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
