Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,631,1486,86,210,0,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Basilicata,94,418,13,88,13,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Calabria,218,929,24,152,25,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Campania,1385,4185,148,620,36,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Emilia-Romagna,2753,6277,275,760,0,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Friuli Venezia Giulia,409,1277,63,175,0,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Lazio,1896,6421,242,943,193,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Liguria,506,1799,59,216,18,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Lombardia,4934,11373,565,1416,114,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Marche,600,1176,94,233,40,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Molise,89,221,19,39,0,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
P.A. Bolzano,183,542,37,100,0,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
P.A. Trento,185,584,48,90,15,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Piemonte,2263,5824,192,628,99,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Puglia,1283,3623,156,569,80,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Sardegna,191,1602,24,208,35,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Sicilia,662,3907,121,834,196,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Toscana,1081,5033,189,582,21,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Umbria,426,852,82,139,2,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Valle d'Aosta,10,227,2,20,12,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Veneto,902,6000,132,1000,0,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
Italia,20701,63756,2571,9022,899,Dati della Protezione Civile del 06 Marzo 2021 ore 18:24
