Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,933,395.047,30.960,2.417,291,1%,282,22,-110%,9,070,1250%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Basilicata,244,134.133,29.074,5.333,88,0%,86,16,490%,2,037,000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Calabria,691,377.616,67.277,3.616,209,0%,196,11,-200%,13,070,1820%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Campania,3.330,1.671.788,150.540,2.677,610,0%,575,10,030%,35,062,-280%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Emilia-Romagna,2.528,1.459.155,38.231,861,1.180,3%,1.150,26,-020%,30,068,340%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Friuli Venezia Giulia,429,373.449,22.971,1.912,150,1%,145,12,660%,5,042,-1670%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Lazio,2.943,1.538.269,145.825,2.545,849,1%,798,14,-140%,51,089,630%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Liguria,584,441.106,11.926,785,226,2%,213,14,-270%,13,086,830%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Lombardia,3.399,2.845.587,134.506,1.348,928,1%,890,9,-430%,38,038,-260%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Marche,803,463.243,5.084,339,118,2%,115,8,-420%,3,020,-2500%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Molise,230,64.015,8.415,2.859,26,0%,23,8,-1150%,3,102,000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
P.A. Bolzano,159,215.394,3.052,571,41,1%,41,8,000%,0,000,000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
P.A. Trento,177,165.374,2.830,522,50,2%,47,9,-1300%,3,055,5000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Piemonte,1.495,1.178.205,35.730,836,568,2%,547,13,-210%,21,049,500%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Puglia,1.723,1.108.902,89.065,2.264,487,1%,462,12,-170%,25,064,000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Sardegna,601,298.075,24.745,1.556,252,1%,242,15,040%,10,063,000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Sicilia,1.837,1.156.765,95.867,1.983,670,1%,632,13,-280%,38,079,560%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Toscana,1.927,1.130.540,41.088,1.113,430,1%,410,11,-100%,20,054,1110%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Umbria,651,279.357,9.655,1.116,214,2%,209,24,250%,5,058,000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Valle d'Aosta,50,36.015,1.325,1.068,27,2%,26,21,000%,1,081,000%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Veneto,2.428,1.725.838,49.952,1.026,465,1%,443,9,-350%,22,045,-1540%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
Italia,27.162,17.057.873,998.118,1.685,7.879,1%,7.532,13,-150%,347,059,210%,Dati della Protezione Civile del 15 Maggio 2022 ore 23:45
