Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,35,81.415,1.634,126,55,3%,49,4,-930%,6,046,2000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Basilicata,32,30.300,1.171,212,29,2%,28,5,-1250%,1,018,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Calabria,90,84.287,3.267,172,143,4%,129,7,-230%,14,074,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Campania,165,457.650,6.510,114,224,3%,208,4,-050%,16,028,-590%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Emilia-Romagna,169,425.088,14.651,328,411,3%,361,8,-420%,50,112,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Friuli Venezia Giulia,46,114.038,899,75,46,5%,37,3,000%,9,075,-1000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Lazio,221,385.921,9.110,158,425,5%,368,6,080%,57,099,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Liguria,58,113.011,1.018,67,61,6%,57,4,1180%,4,026,-3330%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Lombardia,288,885.208,9.743,97,417,4%,358,4,320%,59,059,540%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Marche,86,114.178,2.455,162,61,2%,45,3,980%,16,106,-1110%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Molise,4,14.518,91,30,3,3%,2,1,000%,1,033,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
P.A. Bolzano,57,77.169,814,153,33,4%,27,5,-1560%,6,113,2000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
P.A. Trento,20,48.494,359,66,21,6%,16,3,000%,5,092,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Piemonte,137,379.744,3.418,79,206,6%,182,4,-470%,24,056,430%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Puglia,126,269.228,2.559,65,168,7%,151,4,070%,17,043,630%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Sardegna,51,75.477,1.915,119,125,7%,107,7,-270%,18,112,590%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Sicilia,321,300.126,13.368,274,458,3%,409,8,-620%,49,101,-200%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Toscana,154,283.289,6.305,171,268,4%,236,6,040%,32,087,-590%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Umbria,31,63.958,777,89,50,6%,44,5,000%,6,069,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Valle d'Aosta,12,12.171,99,79,2,2%,2,2,-3330%,0,000,000%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Veneto,363,470.839,10.136,208,195,2%,152,3,-950%,43,088,-650%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
Italia,2.466,4.686.109,90.299,151,3.401,4%,2.968,5,-210%,433,073,-090%,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47
