Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,48,1324,5,177,23,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Basilicata,24,364,0,88,13,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Calabria,94,966,12,174,3,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Campania,189,3511,16,555,189,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Emilia-Romagna,310,7920,35,889,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Friuli Venezia Giulia,41,1277,7,175,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Lazio,294,6421,50,943,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Liguria,56,1690,6,217,12,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Lombardia,297,6369,56,1530,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Marche,41,971,13,212,61,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Molise,1,176,1,39,26,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
P.A. Bolzano,22,500,8,100,20,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
P.A. Trento,18,517,3,90,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Piemonte,177,5824,20,628,99,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Puglia,133,2745,18,482,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Sardegna,76,1602,9,204,16,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Sicilia,259,3716,43,894,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Toscana,194,5033,22,570,37,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Umbria,33,662,5,84,43,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Veneto,135,6000,28,1000,0,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
Italia,2445,57671,357,9084,542,Dati della Protezione Civile del 15 Ottobre 2021 ore 18:22
