Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.135,523.475,25.252,1.971,239,1%,230,18,-340%,9,070,1250%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Basilicata,258,174.030,9.052,1.661,57,1%,55,10,-180%,2,037,000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Calabria,1.200,513.794,69.931,3.759,265,0%,252,14,-870%,13,070,3000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Campania,2.290,2.146.317,122.655,2.181,478,0%,456,8,-260%,22,039,-1200%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Emilia-Romagna,2.061,1.791.309,36.810,829,1.378,4%,1.337,30,-520%,41,092,510%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Friuli Venezia Giulia,619,464.237,13.288,1.106,232,2%,228,19,-340%,4,033,3330%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Lazio,2.106,1.986.995,160.159,2.795,922,1%,868,15,160%,54,094,-360%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Liguria,824,548.256,13.127,864,366,3%,359,24,-080%,7,046,1670%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Lombardia,2.975,3.421.475,63.391,635,1.038,2%,1.010,10,-430%,28,028,-3170%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Marche,955,589.761,15.163,1.012,139,1%,135,9,-690%,4,027,000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Molise,163,84.490,5.944,2.020,30,1%,28,10,-340%,2,068,-3330%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
P.A. Bolzano,282,251.163,3.306,618,62,2%,61,11,700%,1,019,000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
P.A. Trento,324,198.680,4.105,757,69,2%,68,13,460%,1,018,000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Piemonte,1.718,1.406.424,37.282,872,442,1%,433,10,-290%,9,021,-1000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Puglia,1.859,1.427.819,40.089,1.019,410,1%,393,10,-270%,17,043,000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Sardegna,715,428.678,18.803,1.183,143,1%,132,8,-1080%,11,069,2220%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Sicilia,2.212,1.589.938,115.864,2.397,755,1%,719,15,-590%,36,074,-530%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Toscana,1.246,1.358.543,86.003,2.329,489,1%,472,13,-780%,17,046,-1050%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Umbria,496,358.821,11.870,1.372,221,2%,217,25,-360%,4,046,3330%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Valle d'Aosta,51,42.802,984,793,8,1%,8,6,-3850%,0,000,000%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Veneto,3.204,2.148.284,61.850,1.270,606,1%,582,12,-200%,24,049,-770%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
Italia,26.693,21.455.291,914.928,1.545,8.349,1%,8.043,14,-380%,306,052,-470%,Dati della Protezione Civile del 12 Agosto 2022 ore 23:45
