Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.480,384.863,56.402,4.403,310,1%,301,23,-260%,9,070,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Basilicata,491,131.024,29.615,5.433,103,0%,101,19,-470%,2,037,-3330%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Calabria,1.290,368.410,75.683,4.068,251,0%,240,13,-360%,11,059,-830%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Campania,4.751,1.639.075,160.807,2.859,685,0%,647,12,-680%,38,068,-500%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Emilia-Romagna,3.238,1.435.126,49.835,1.123,1.237,2%,1.203,27,-970%,34,077,630%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Friuli Venezia Giulia,731,368.485,24.081,2.004,163,1%,160,13,000%,3,025,-5710%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Lazio,3.578,1.510.909,147.899,2.581,1.116,1%,1.058,18,-070%,58,101,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Liguria,1.001,434.234,14.397,948,275,2%,261,17,-510%,14,092,-670%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Lombardia,5.305,2.805.793,145.300,1.456,1.165,1%,1.131,11,-160%,34,034,-560%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Marche,1.347,454.146,6.405,428,151,2%,146,10,-270%,5,033,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Molise,233,61.976,9.161,3.113,23,0%,21,7,-2500%,2,068,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
P.A. Bolzano,330,213.112,3.438,643,48,1%,47,9,000%,1,019,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
P.A. Trento,288,163.272,3.332,615,60,2%,58,11,-790%,2,037,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Piemonte,2.287,1.161.422,54.524,1.275,684,1%,665,16,-570%,19,044,560%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Puglia,2.949,1.089.351,94.654,2.406,557,1%,530,13,100%,27,069,380%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Sardegna,1.118,288.866,26.202,1.648,274,1%,266,17,-070%,8,050,-1110%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Sicilia,2.771,1.135.945,112.760,2.333,761,1%,723,15,-300%,38,079,-500%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Toscana,2.358,1.114.150,44.723,1.211,522,1%,499,14,-370%,23,062,-420%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Umbria,746,273.797,10.942,1.264,214,2%,209,24,-230%,5,058,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Valle d'Aosta,54,35.537,1.388,1.119,27,2%,27,22,-360%,0,000,000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Veneto,4.176,1.698.280,59.816,1.228,544,1%,522,11,-220%,22,045,1000%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
Italia,40.522,16.767.773,1.131.364,1.910,9.170,1%,8.815,15,-380%,355,060,-220%,Dati della Protezione Civile del 07 Maggio 2022 ore 23:45
