Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,236,1382,7,181,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Basilicata,57,393,1,79,13,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Calabria,165,984,7,194,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Campania,443,4017,26,585,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Emilia-Romagna,938,9001,26,889,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Friuli Venezia Giulia,99,1277,2,175,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Lazio,619,6421,39,943,243,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Liguria,162,1643,8,218,12,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Lombardia,720,10457,32,1810,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Marche,93,988,3,230,49,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Molise,12,176,3,39,26,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
P.A. Bolzano,36,500,1,100,20,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
P.A. Trento,40,517,3,90,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Piemonte,348,6794,17,628,99,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Puglia,339,2903,13,503,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Sardegna,159,1602,11,204,16,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Sicilia,555,3626,24,809,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Toscana,311,5033,17,570,8,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Umbria,130,662,2,86,41,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Valle d'Aosta,15,85,1,13,21,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Veneto,305,6000,19,1000,0,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
Italia,5782,64461,262,9346,548,Dati della Protezione Civile del 26 Maggio 2022 ore 23:45
