Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,112,76.124,1.395,108,22,2%,22,2,-430%,0,000,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Basilicata,37,27.339,626,113,15,2%,15,3,710%,0,000,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Calabria,108,70.833,2.706,143,68,3%,62,3,880%,6,032,5000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Campania,355,430.592,8.444,148,201,2%,189,3,330%,12,021,910%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Emilia-Romagna,544,393.632,6.490,145,211,3%,197,4,770%,14,031,770%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Friuli Venezia Giulia,98,107.947,659,55,17,3%,15,1,5000%,2,017,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Lazio,845,357.786,9.524,165,334,4%,290,5,620%,44,076,1280%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Liguria,122,105.172,1.159,76,42,4%,34,2,630%,8,052,1430%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Lombardia,678,852.193,10.227,102,237,2%,211,2,240%,26,026,-1330%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Marche,151,105.397,1.861,123,26,1%,21,1,000%,5,033,2500%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Molise,13,13.911,119,40,1,1%,1,0,000%,0,000,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
P.A. Bolzano,24,73.775,340,64,10,3%,10,2,000%,0,000,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
P.A. Trento,36,46.361,361,66,6,2%,6,1,000%,0,000,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Piemonte,287,365.598,2.224,52,77,3%,72,2,-530%,5,012,2500%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Puglia,248,255.799,2.159,55,90,4%,82,2,930%,8,020,-1110%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Sardegna,308,61.721,4.659,289,81,2%,70,4,1480%,11,068,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Sicilia,724,242.059,9.995,205,298,3%,268,5,040%,30,062,340%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Toscana,720,251.332,6.441,174,141,2%,127,3,1340%,14,038,770%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Umbria,157,58.233,1.586,182,16,1%,14,2,-670%,2,023,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Valle d'Aosta,6,11.761,60,48,1,2%,1,1,000%,0,000,000%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Veneto,1.046,435.954,11.927,244,119,1%,105,2,100%,14,029,-1250%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
Italia,6.619,4.343.519,82.962,139,2.013,2%,1.812,3,470%,201,034,360%,Dati della Protezione Civile del 30 Luglio 2021 ore 18:54
