Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,158,70.203,9.236,707,504,5%,459,35,-150%,45,345,-220%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Basilicata,189,22.968,6.098,1.095,172,3%,161,29,450%,11,198,-830%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Calabria,610,57.078,14.573,757,504,3%,461,24,-130%,43,223,-230%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Campania,1.970,379.262,92.026,1.591,1.659,2%,1.513,26,-180%,146,252,210%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Emilia-Romagna,1.104,362.801,54.549,1.221,2.224,4%,1.948,44,-400%,276,618,-210%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Friuli Venezia Giulia,124,104.049,8.631,713,359,4%,319,26,000%,40,330,-700%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Lazio,1.221,316.047,46.802,798,2.836,6%,2.504,43,-290%,332,566,-180%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Liguria,370,97.650,6.266,406,613,10%,543,35,-370%,70,454,140%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Lombardia,2.304,791.137,56.449,559,4.829,9%,4.185,41,-380%,644,637,-140%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Marche,326,95.834,6.886,454,575,8%,505,33,-360%,70,461,-280%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Molise,19,13.028,620,205,52,8%,39,13,-250%,13,430,-710%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
P.A. Bolzano,65,70.730,672,126,69,10%,60,11,-160%,9,169,-1820%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
P.A. Trento,96,43.468,1.239,228,117,9%,91,17,-810%,26,479,000%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Piemonte,1.099,339.052,18.445,425,2.722,15%,2.447,56,-470%,275,633,-180%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Puglia,1.692,226.723,49.197,1.227,2.031,4%,1.778,44,-230%,253,631,-270%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Sardegna,267,52.911,17.792,1.091,420,2%,368,23,-190%,52,319,-190%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Sicilia,930,201.420,25.284,509,1.409,6%,1.232,25,-100%,177,356,-060%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Toscana,1.003,220.973,23.507,631,1.757,7%,1.501,40,-150%,256,688,-040%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Umbria,134,53.705,3.123,355,223,7%,187,21,-360%,36,409,590%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Valle d'Aosta,45,10.598,841,670,58,7%,46,37,-980%,12,956,000%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Veneto,1.035,406.066,23.307,475,1.286,6%,1.093,22,-280%,193,393,-050%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Italia,14.761,3.935.703,465.543,773,24.419,5%,21.440,36,-300%,2.979,494,-140%,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
