Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,150,78.195,2.231,172,71,3%,59,5,-480%,12,093,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Basilicata,49,28.384,1.265,229,40,3%,38,7,270%,2,036,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Calabria,290,75.079,3.838,203,134,3%,122,6,-160%,12,063,3330%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Campania,585,441.093,9.481,166,366,4%,344,6,-110%,22,039,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Emilia-Romagna,622,406.338,14.196,318,422,3%,376,8,080%,46,103,450%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Friuli Venezia Giulia,103,109.811,938,78,39,4%,30,2,710%,9,075,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Lazio,553,370.455,17.480,304,596,3%,528,9,000%,68,118,150%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Liguria,153,108.380,1.987,130,89,4%,77,5,-490%,12,079,910%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Lombardia,540,864.756,12.132,121,360,3%,319,3,160%,41,041,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Marche,198,108.941,2.978,197,58,2%,49,3,000%,9,059,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Molise,2,14.127,182,61,7,4%,6,2,-1430%,1,033,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
P.A. Bolzano,65,74.555,669,126,18,3%,17,3,000%,1,019,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
P.A. Trento,29,47.123,500,92,24,5%,23,4,000%,1,018,-5000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Piemonte,225,370.381,3.581,83,145,4%,133,3,390%,12,028,-770%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Puglia,364,261.236,4.505,114,187,4%,163,4,450%,24,061,910%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Sardegna,313,69.107,7.708,478,210,3%,190,12,610%,20,124,530%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Sicilia,1.739,263.202,22.629,464,761,3%,677,14,210%,84,172,120%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Toscana,639,265.757,12.265,332,374,3%,333,9,090%,41,111,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Umbria,100,60.753,2.009,231,57,3%,53,6,190%,4,046,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Valle d'Aosta,7,11.975,153,122,4,3%,4,3,3330%,0,000,000%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Veneto,744,449.043,12.694,260,237,2%,192,4,110%,45,092,470%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
Italia,7.470,4.478.691,133.421,224,4.199,3%,3.733,6,110%,466,078,240%,Dati della Protezione Civile del 21 Agosto 2021 ore 17:39
