Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,107,39422,11382,872,497,4%,454,35,2.5&,43,3.29,13.2%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Basilicata,7,12508,6903,1239,88,1%,82,15,-3.5&,6,1.08,50%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Calabria,256,29329,10214,531,336,3%,312,16,7.6&,24,1.25,-4%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Campania,714,207863,72662,1256,1542,2%,1448,25,-0.8&,94,1.62,0%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Emilia-Romagna,1153,203141,54230,1214,2802,5%,2564,57,1.4&,238,5.33,1.7%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Friuli Venezia Giulia,153,60919,12685,1047,743,6%,680,56,0.4&,63,5.2,0%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Lazio,872,190515,77345,1319,3200,4%,2885,49,4.3&,315,5.37,6.4%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Liguria,263,66026,5049,327,718,14%,654,42,-0.5&,64,4.15,3.2%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Lombardia,1189,515355,53564,530,4002,7%,3553,35,-1.6&,449,4.44,-0.7%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Marche,157,50268,10251,675,676,7%,591,39,0.2&,85,5.6,2.4%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Molise,33,7586,1085,359,70,6%,60,20,1.7&,10,3.31,11.1%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
P.A. Bolzano,165,33684,12113,2277,244,2%,214,40,5.9&,30,5.64,15.4%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
P.A. Trento,56,25129,2363,435,333,14%,287,53,0.7&,46,8.48,-2.1%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Piemonte,435,213195,14789,341,2636,18%,2470,57,0.4&,166,3.82,1.2%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Puglia,403,109831,55512,1385,1541,3%,1398,35,-0.4&,143,3.57,0.7%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Sardegna,136,35910,17616,1080,557,3%,506,31,-0.2&,51,3.13,6.3%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Sicilia,1278,122007,46885,944,1649,4%,1444,29,1.5&,205,4.13,-1.4%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Toscana,345,128197,8333,224,845,10%,720,19,3.2&,125,3.36,5.9%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Umbria,94,32397,4580,520,333,7%,284,32,1.4&,49,5.57,0%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Valle d'Aosta,11,7650,415,331,47,11%,45,36,9.8&,2,1.59,-33.3%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Veneto,998,299170,69083,1408,2569,4%,2233,45,-2.6&,336,6.85,-0.6%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
Italia,8825,2390102,547059,908,25428,5%,22884,38,0.6&,2544,4.22,1.6%,Dati della Protezione Civile del 18 Gennaio 2021 ore 19:41
