Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,638,1486,82,206,0,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Basilicata,101,424,10,88,13,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Calabria,201,913,20,152,25,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Campania,1356,4160,137,620,36,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Emilia-Romagna,2528,6126,251,757,0,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Friuli Venezia Giulia,386,1277,62,175,0,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Lazio,1828,6421,237,943,193,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Liguria,526,1795,53,216,18,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Lombardia,4545,10936,506,1416,114,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Marche,561,1176,84,233,40,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Molise,94,221,19,39,0,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
P.A. Bolzano,205,546,33,100,0,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
P.A. Trento,182,584,47,90,15,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Piemonte,2140,5824,181,628,99,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Puglia,1280,3623,168,569,80,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Sardegna,192,1602,20,208,35,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Sicilia,696,3907,117,834,196,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Toscana,1021,5033,171,577,19,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Umbria,431,852,83,141,2,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Valle d'Aosta,12,227,2,20,12,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Veneto,840,6000,128,1000,0,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
Italia,19763,63133,2411,9012,897,Dati della Protezione Civile del 03 Marzo 2021 ore 17:59
