Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.298,434.219,29.453,2.299,163,1%,156,12,1220%,7,055,1670%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Basilicata,684,146.908,8.482,1.556,52,1%,51,9,-380%,1,018,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Calabria,1.989,418.629,40.174,2.159,199,0%,192,10,270%,7,038,-1250%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Campania,10.699,1.830.891,116.652,2.074,510,0%,481,9,620%,29,052,740%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Emilia-Romagna,6.674,1.578.311,56.663,1.276,1.022,2%,998,22,140%,24,054,-1430%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Friuli Venezia Giulia,1.558,402.953,14.509,1.208,165,1%,157,13,060%,8,067,1430%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Lazio,11.529,1.725.968,156.981,2.739,669,0%,614,11,-190%,55,096,190%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Liguria,1.709,476.820,16.043,1.057,231,1%,227,15,1020%,4,026,3330%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Lombardia,11.575,3.062.906,115.723,1.159,999,1%,975,10,730%,24,024,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Marche,2.164,501.221,9.084,606,112,1%,109,7,790%,3,020,-4000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Molise,447,71.322,3.238,1.100,17,1%,16,5,2310%,1,034,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
P.A. Bolzano,596,227.637,4.578,856,65,1%,63,12,-740%,2,037,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
P.A. Trento,550,175.309,4.197,774,46,1%,45,8,-630%,1,018,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Piemonte,4.309,1.255.993,43.992,1.029,365,1%,355,8,410%,10,023,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Puglia,6.576,1.212.257,48.737,1.239,335,1%,321,8,220%,14,036,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Sardegna,2.569,353.529,26.969,1.696,138,1%,127,8,-080%,11,069,1000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Sicilia,6.306,1.305.691,85.960,1.778,849,1%,822,17,340%,27,056,800%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Toscana,4.547,1.217.125,57.027,1.544,449,1%,437,12,580%,12,032,-770%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Umbria,1.511,307.039,14.665,1.694,180,1%,175,20,290%,5,058,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Valle d'Aosta,85,37.947,783,631,13,2%,13,10,000%,0,000,000%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Veneto,7.959,1.867.336,75.096,1.542,515,1%,496,10,440%,19,039,560%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
Italia,86.334,18.610.011,929.006,1.568,7.094,1%,6.830,12,360%,264,045,110%,Dati della Protezione Civile del 01 Luglio 2022 ore 23:45
