Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,173,85.127,2.944,228,97,3%,85,7,240%,12,093,000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Basilicata,40,31.195,925,167,26,3%,24,4,000%,2,036,10000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Calabria,197,90.221,3.770,199,134,4%,124,7,600%,10,053,-910%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Campania,871,478.634,12.796,224,318,2%,297,5,-170%,21,037,000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Emilia-Romagna,756,441.494,11.454,257,500,4%,459,10,600%,41,092,-240%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Friuli Venezia Giulia,687,123.745,5.114,424,203,4%,178,15,600%,25,207,000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Lazio,944,407.604,13.040,227,674,5%,597,10,-130%,77,134,410%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Liguria,271,117.966,2.389,157,120,5%,108,7,090%,12,079,910%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Lombardia,1.858,909.202,17.530,175,609,3%,556,6,610%,53,053,390%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Marche,326,119.340,3.380,223,91,3%,69,5,300%,22,145,-830%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Molise,14,14.879,240,80,5,2%,4,1,30000%,1,033,000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
P.A. Bolzano,365,83.027,3.804,714,78,2%,70,13,000%,8,150,-1110%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
P.A. Trento,112,50.455,818,150,28,3%,23,4,-1150%,5,092,2500%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Piemonte,618,390.998,6.583,153,320,5%,296,7,310%,24,056,2000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Puglia,379,276.488,3.784,96,180,5%,160,4,-360%,20,051,-480%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Sardegna,130,77.387,1.995,124,53,3%,43,3,-230%,10,062,1110%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Sicilia,491,316.126,9.613,197,394,4%,351,7,000%,43,088,-850%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Toscana,372,295.605,7.469,202,305,4%,266,7,-040%,39,106,1470%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Umbria,96,66.481,1.565,180,45,3%,39,4,-250%,6,069,2000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Valle d'Aosta,37,12.542,224,179,9,4%,8,6,1430%,1,080,000%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Veneto,1.435,494.726,17.648,362,357,2%,303,6,780%,54,111,-690%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
Italia,10.172,4.883.242,127.085,213,4.546,4%,4.060,7,230%,486,081,100%,Dati della Protezione Civile del 17 Novembre 2021 ore 18:22
