Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,196,1382,7,181,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Basilicata,36,358,1,79,14,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Calabria,185,971,9,177,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Campania,417,3890,15,575,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Emilia-Romagna,1216,9001,38,889,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Friuli Venezia Giulia,209,1277,6,175,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Lazio,729,6421,46,943,243,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Liguria,352,1607,5,218,12,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Lombardia,884,10457,20,1810,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Marche,124,983,6,230,50,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Molise,20,176,2,39,26,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
P.A. Bolzano,45,500,0,100,20,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
P.A. Trento,80,517,1,90,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Piemonte,359,6794,9,628,99,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Puglia,329,2751,18,405,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Sardegna,127,1602,12,204,16,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Sicilia,606,3683,30,791,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Toscana,395,5033,17,570,13,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Umbria,170,662,2,86,41,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Valle d'Aosta,8,85,0,13,21,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Veneto,538,6000,24,1000,0,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
Italia,7025,64150,268,9203,555,Dati della Protezione Civile del 18 Agosto 2022 ore 23:45
