Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,105,80.018,2.237,173,83,4%,78,6,130%,5,039,-1670%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Basilicata,34,29.404,1.367,247,50,4%,46,8,-800%,4,072,3330%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Calabria,304,80.405,5.090,269,181,4%,167,9,-230%,14,074,770%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Campania,359,449.853,8.223,144,367,4%,346,6,-140%,21,037,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Emilia-Romagna,617,416.844,15.021,336,443,3%,400,9,-050%,43,096,-440%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Friuli Venezia Giulia,164,112.156,1.525,126,59,4%,47,4,000%,12,099,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Lazio,346,378.335,13.019,226,514,4%,457,8,-130%,57,099,-170%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Liguria,131,111.110,1.822,119,92,5%,83,5,-240%,9,059,1250%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Lombardia,594,875.265,11.245,112,450,4%,391,4,-100%,59,059,170%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Marche,114,112.081,3.335,220,83,2%,60,4,340%,23,152,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Molise,10,14.388,233,78,9,4%,9,3,-3080%,0,000,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
P.A. Bolzano,127,75.809,990,186,32,3%,25,5,2500%,7,131,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
P.A. Trento,23,47.818,438,80,20,5%,20,4,-910%,0,000,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Piemonte,238,374.859,3.787,88,212,6%,189,4,440%,23,053,950%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Puglia,200,265.645,3.753,95,209,6%,186,5,-930%,23,058,-800%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Sardegna,156,73.970,5.532,343,245,4%,220,14,-310%,25,155,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Sicilia,973,287.056,26.353,541,901,3%,793,16,-200%,108,222,-770%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Toscana,423,275.933,9.772,265,442,5%,385,10,-130%,57,154,-170%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Umbria,83,62.654,1.492,171,58,4%,52,6,400%,6,069,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Valle d'Aosta,2,12.052,82,66,2,2%,2,2,10000%,0,000,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Veneto,618,460.903,13.173,270,260,2%,208,4,-230%,52,107,000%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
Italia,5.621,4.596.558,128.489,215,4.712,4%,4.164,7,-160%,548,092,-180%,Dati della Protezione Civile del 10 Settembre 2021 ore 18:21
