Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,399,554.762,27.540,2.150,118,0%,115,9,000%,3,023,5000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Basilicata,84,182.962,4.770,875,18,0%,18,3,1250%,0,000,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Calabria,295,554.243,37.779,2.030,123,0%,118,6,170%,5,027,2500%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Campania,564,2.221.874,40.019,712,230,1%,221,4,420%,9,016,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Emilia-Romagna,1.178,1.854.484,16.880,380,611,4%,594,13,350%,17,038,-560%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Friuli Venezia Giulia,251,487.924,5.720,476,122,2%,117,10,640%,5,042,2500%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Lazio,1.141,2.059.207,40.123,700,381,1%,356,6,690%,25,044,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Liguria,275,572.058,5.154,339,124,2%,120,8,1110%,4,026,10000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Lombardia,1.452,3.544.891,39.808,399,464,1%,457,5,320%,7,007,-1250%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Marche,392,617.902,3.905,261,58,1%,54,4,000%,4,027,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Molise,58,89.771,3.760,1.278,10,0%,10,3,4290%,0,000,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
P.A. Bolzano,172,261.566,2.597,486,76,3%,72,13,1800%,4,075,10000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
P.A. Trento,139,211.113,2.791,515,59,2%,58,11,550%,1,018,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Piemonte,934,1.464.037,34.402,805,289,1%,283,7,720%,6,014,-1430%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Puglia,360,1.473.315,9.397,239,101,1%,94,2,-210%,7,018,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Sardegna,215,447.655,4.258,268,60,1%,55,3,780%,5,031,-1670%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Sicilia,391,1.644.529,22.482,465,188,1%,174,4,120%,14,029,1670%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Toscana,401,1.397.751,82.684,2.239,177,0%,173,5,180%,4,011,-2000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Umbria,275,374.456,3.881,448,113,3%,111,13,470%,2,023,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Valle d'Aosta,6,44.336,567,457,6,1%,6,5,000%,0,000,000%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Veneto,1.026,2.254.776,38.915,799,263,1%,255,5,120%,8,016,1430%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
Italia,10.008,22.313.612,427.432,722,3.591,1%,3.461,6,420%,130,022,400%,Dati della Protezione Civile del 26 Settembre 2022 ore 23:45
