Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,212,60626,12372,947,762,6%,675,52,-1.5%,87,6.66,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Basilicata,166,17682,4151,745,179,4%,163,29,3.8%,16,2.87,-5.9%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Calabria,311,41709,7734,402,306,4%,277,14,7.4%,29,1.51,3.6%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Campania,2656,308101,98073,1695,1725,2%,1560,27,1.1%,165,2.85,2.5%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Emilia-Romagna,2184,304314,68992,1544,3894,6%,3516,79,1.5%,378,8.46,1.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Friuli Venezia Giulia,672,87217,14774,1220,607,4%,530,44,-0.4%,77,6.36,10%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Lazio,1497,258829,44294,755,2693,6%,2399,41,4.4%,294,5.01,0.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Liguria,343,83229,6118,396,635,10%,570,37,0.4%,65,4.21,1.6%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Lombardia,4235,673458,95776,948,7239,8%,6474,64,4.5%,765,7.57,5.1%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Marche,529,79119,10152,669,868,9%,735,48,1.8%,133,8.76,0.8%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Molise,18,11662,1493,494,109,7%,90,30,-10.9%,19,6.29,-5%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
P.A. Bolzano,175,56528,3786,712,187,5%,154,29,-3.1%,33,6.2,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
P.A. Trento,190,38084,3952,728,259,7%,207,38,-2.8%,52,9.58,8.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Piemonte,2074,277295,30784,709,3468,11%,3169,73,3.2%,299,6.89,8.3%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Puglia,1126,167399,39214,978,1750,4%,1554,39,2.8%,196,4.89,3.7%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Sardegna,79,42632,12816,786,201,2%,172,11,-2.3%,29,1.78,7.4%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Sicilia,598,161928,14776,297,838,6%,725,15,1%,113,2.27,5.6%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Toscana,1247,175335,24895,669,1669,7%,1430,38,2%,239,6.42,-0.8%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Umbria,159,48202,5905,671,480,8%,402,46,-1.2%,78,8.86,5.4%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Valle d'Aosta,24,8365,345,275,17,5%,14,11,-6.7%,3,2.39,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Veneto,1901,357056,35713,728,1468,4%,1282,26,12.4%,186,3.79,0%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
Italia,20396,3258770,536115,890,29354,5%,26098,43,3%,3256,5.4,3.1%,Dati della Protezione Civile del 16 Marzo 2021 ore 18:09
