Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,111,1382,2,181,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Basilicata,34,362,0,79,14,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Calabria,137,978,7,183,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Campania,288,3939,15,575,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Emilia-Romagna,672,9001,27,889,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Friuli Venezia Giulia,85,1277,4,175,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Lazio,496,6421,42,943,243,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Liguria,145,1635,4,218,12,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Lombardia,550,10457,17,1810,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Marche,69,983,5,230,49,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Molise,9,176,1,39,26,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
P.A. Bolzano,45,500,2,100,20,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
P.A. Trento,22,517,1,90,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Piemonte,216,6794,6,628,99,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Puglia,218,2903,8,503,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Sardegna,89,1602,7,204,16,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Sicilia,565,3590,22,795,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Toscana,227,5033,9,570,13,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Umbria,93,662,0,86,41,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Valle d'Aosta,15,85,0,13,21,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Veneto,245,6000,14,1000,0,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
Italia,4331,64297,193,9311,554,Dati della Protezione Civile del 18 Giugno 2022 ore 23:45
