Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,64,73.874,5.619,434,178,3%,161,12,-580%,17,131,630%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Basilicata,53,26.188,4.122,745,74,2%,70,13,-670%,4,072,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Calabria,185,66.454,10.388,548,293,3%,274,14,000%,19,100,-950%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Campania,533,417.792,68.861,1.206,855,1%,782,14,-610%,73,128,-990%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Emilia-Romagna,263,383.025,17.357,389,733,4%,622,14,-970%,111,249,180%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Friuli Venezia Giulia,33,106.867,5.014,416,49,1%,41,3,-1090%,8,066,-2000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Lazio,361,340.891,22.746,395,1.226,5%,1.061,18,-410%,165,287,-680%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Liguria,49,102.528,1.310,86,178,14%,142,9,-960%,36,236,-770%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Lombardia,739,833.246,32.740,326,1.559,5%,1.299,13,-510%,260,259,-480%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Marche,154,102.365,4.303,284,166,4%,132,9,-570%,34,225,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Molise,11,13.572,162,54,15,9%,11,4,000%,4,133,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
P.A. Bolzano,67,72.754,758,142,24,3%,20,4,2500%,4,075,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
P.A. Trento,46,45.313,516,95,41,8%,28,5,-340%,13,238,-710%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Piemonte,298,359.487,6.333,147,855,14%,765,18,-080%,90,209,-720%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Puglia,288,249.668,27.885,705,767,3%,686,17,-550%,81,205,-240%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Sardegna,28,56.539,12.949,803,173,1%,155,10,-830%,18,112,-1430%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Sicilia,383,224.400,11.340,233,616,5%,535,11,-330%,81,166,-580%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Toscana,319,240.511,9.483,257,618,7%,499,14,-580%,119,322,-850%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Umbria,24,56.225,1.695,195,89,5%,79,9,130%,10,115,-910%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Valle d'Aosta,7,11.541,235,188,9,4%,9,7,-2500%,0,000,000%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Veneto,242,422.730,9.377,192,395,4%,336,7,-740%,59,121,-780%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
Italia,4.147,4.205.970,253.193,425,8.913,4%,7.707,13,-510%,1.206,202,-560%,Dati della Protezione Civile del 27 Maggio 2021 ore 18:38
